personId,age,sex,economic_status,income,carAvail,restricted_mobility,homeX,homeY,"acc jakob (policy network, base events+plans)",acc base default,acc policy default,,,,"jakob(policy network, base events+plans)",base default,policy default
berlin_92162de3,45,m,medium,3000,always,FALSE,802458.1026081825,5828083.641,-6.236051459,-2.37974101,-7.924217705,,,,,,
berlin_d0ae296f,8,m,very_high,5600,never,FALSE,805412.3581643004,5830242.906968403,-6.104348282,-4.009827034,-6.745873856,,,,,,
berlin_c4e6ad25,2,m,medium,3000,never,FALSE,796032.5999422905,5822949.626443534,-4.761761153,-2.537178667,-4.691864899,,,,,,
berlin_8269d711,11,m,low,2000,never,FALSE,785200.2300391768,5829269.752365708,-1.919842497,-1.914956068,-2.094074689,,,,,,
berlin_fa9c8e5b,16,m,high,3600,never,FALSE,807867.5911506524,5825217.775322367,-9.331756909,-6.230957863,-10.72712567,,,,,,
bb_cbc5156d,33,f,medium,2000,always,FALSE,775438.1,5811946.83,-16.12539657,-15.52513026,-17.09272704,,,,,,
berlin_e35d2989,43,f,low,900,always,FALSE,811066.4519905829,5827317.783119464,-16.47423461,-13.76561423,-18.68639767,,,,,,
berlin_61fae7f9,26,f,very_low,900,always,TRUE,810244.9499232578,5831958.242712098,-14.94191138,-12.73994457,-15.99404149,,,,,,
berlin_c3d9d6e2,51,f,very_low,2000,always,FALSE,784465.5753569086,5827183.404,-1.94248558,-1.934646862,-1.931796996,,,,,,
berlin_8892ef48,90,m,low,1500,always,FALSE,799459.4884,5816849.804724531,-13.24561227,-9.254704587,-13.51597683,,,,,,
berlin_9e68b504,39,f,medium,2600,always,FALSE,807723.7610079262,5825064.458239427,-10.07851566,-6.831296146,-11.55593114,,,,,,
berlin_95152e65,32,f,high,5600,always,FALSE,789711.3013818089,5829492.536922536,-4.373092207,-3.166292852,-5.332034834,,,,,,
berlin_12459fad,21,f,high,3000,always,FALSE,799048.1995019293,5828456.665200264,-10.55813637,-1.544261033,-10.55852747,,,,,,
berlin_77bbabb5,55,f,medium,3000,always,FALSE,801243.5758852501,5825718.933060098,-13.85494322,-1.102088894,-13.90329024,,,,,,
berlin_86ffbc16,74,m,very_low,900,always,TRUE,787414.5056886831,5829513.523439861,-5.177083328,-5.165331862,-5.917972396,,,,,,
berlin_575be736,22,f,low,900,always,FALSE,794321.5018132892,5827994.6555264145,-11.71939973,-3.205278422,-11.71558651,,,,,,
berlin_17a3eec9,39,f,very_low,499,always,TRUE,787847.8756757403,5829911.834900035,-8.44410343,-8.433642195,-9.662052086,,,,,,
berlin_2ea5001f,12,m,low,3000,never,FALSE,810342.0171884585,5829605.925734628,-9.697557939,-7.553633943,-10.45256421,,,,,,
berlin_36880011,34,f,medium,1500,always,FALSE,803055.4712762295,5820022.021468978,-12.09362332,-7.534792372,-12.78894723,,,,,,
berlin_6b3e3a1e,7,m,low,2000,never,FALSE,783546.8375827828,5827570.923233183,-1.759682415,-1.756583349,-1.762769707,,,,,,
berlin_204e02a6,18,f,low,2000,always,FALSE,795512.0145766274,5836072.9835938895,-8.835211413,-7.541032274,-9.248330825,,,,,,
berlin_51a3a4ee,38,f,low,3000,always,FALSE,805173.0574654634,5830219.784,-6.122817323,-4.071029175,-6.80721425,,,,,,
berlin_d06e3edf,47,f,very_high,5600,always,FALSE,802466.1698688735,5821072.469164389,-7.562175159,-4.124039705,-8.398733898,,,,,,
berlin_d2cf32d6,5,m,medium,3000,never,FALSE,795189.7911082052,5825647.305835382,-12.97458155,-1.909333785,-12.78830958,,,,,,
berlin_e2655e34,51,f,high,3600,always,FALSE,784223.6640909705,5826738.967909912,-2.445304832,-2.421430963,-2.363125675,,,,,,
berlin_a116924a,21,f,high,3000,always,FALSE,781291.0936550384,5827711.891253169,-3.291455938,-3.280713328,-3.254941114,,,,,,
berlin_9d6f74bf,39,f,low,900,always,TRUE,795461.6670246156,5836692.976746071,-12.68194179,-11.76140475,-13.23870424,,,,,,
berlin_25dde0ad,40,m,medium,2000,always,FALSE,803168.0445089526,5827262.012824995,-7.829893648,-3.379561963,-9.907049246,,,,,,
berlin_47e108a0,56,m,high,3600,always,FALSE,799141.6993988852,5825080.430304806,-15.52257594,-1.129858423,-15.4293266,,,,,,
