"personId","age","sex","economic_status","income","carAvail","restricted_mobility","homeX","homeY","twalk_expSum","car_base_expSum","car_policy_expSum","pt_expSum","brainExpBeta","age_group","income_bin","bezirk","car_base_expSum_adj","car_policy_expSum_adj","mm_expSum_base","mm_expSum_policy","mm_logSum_base","mm_logSum_policy","mm_delta","car_share_base","changed","outcome","car_logSum_base","car_logSum_policy","car_delta"
"berlin_56c86a75",58,"m","medium",2600,"always","No restriction",798205.80266028,5826839.94540988,0.000903788796292075,0.353634130787225,9.65641315052443e-10,0.0130726764508454,1,"45–59","2600",10,0.353634130787225,9.65641315052443e-10,0.367610596034362,0.0139764662127788,-1.00073106401298,-4.27038034860867,-3.26964928459569,0.961980243774499,TRUE,"Worsened",-1.03949242915724,-20.758228660138,-19.7187362309807
"berlin_1ac419eb",50,"f","very_high",5600,"always","No restriction",800621.32412661,5813409.51269647,5.46317535142631e-29,0.000773276448663053,1.91466651699871e-05,1.06723443004749e-05,1,"45–59","5600",12,0.000773276448663053,1.91466651699871e-05,0.000783948792963528,2.9819009470462e-05,-7.15116685484453,-10.4203644661324,-3.26919761128783,0.986386426771408,TRUE,"Worsened",-7.16487394244083,-10.8633820000616,-3.69850805762079
"berlin_a1bcaa6d",63,"m","high",3000,"always","Restricted mobility",812281.563194247,5824403.27505327,1.54571012173762e-36,9.54256269809191e-05,2.25881892064867e-06,1.42570448754913e-06,1,"60+","3000",7,9.54256269809191e-05,2.25881892064867e-06,9.68513314684682e-05,3.68452340819781e-06,-9.24233342046733,-12.511369373605,-3.2690359531377,0.985279453922497,TRUE,"Worsened",-9.25716338894934,-13.0006684827667,-3.74350509381738
"berlin_ff22acb0",46,"f","very_high",5600,"always","No restriction",801820.970396117,5827856.40024666,3.93771641854926e-06,0.136127475647559,0.000105209261775569,0.00527050832434903,1,"45–59","5600",11,0.136127475647559,0.000105209261775569,0.141401921688327,0.00537965530254315,-1.95614893517123,-5.22513097702029,-3.26898204184906,0.962698908347276,TRUE,"Worsened",-1.99416351131911,-9.15955922184421,-7.1653957105251
"berlin_9511521b",22,"m","high",5600,"always","No restriction",808929.074714689,5818904.60723373,1.47326668207931e-23,0.00279910158008192,7.81579959990303e-06,0.000102599081516509,1,"15–29","5600",3,0.00279910158008192,7.81579959990303e-06,0.00290170066159843,0.000110414881116412,-5.8424582788416,-9.11126564048388,-3.26880736164228,0.964641741695027,TRUE,"Worsened",-5.87845677754539,-11.7593632832783,-5.88090650573293
"berlin_f5931ed3",43,"f","very_high",5600,"always","No restriction",799328.343688808,5829356.98093896,0.00273034469854776,0.253495838675487,0.00053213323638342,0.00674530725235856,1,"30–44","5600",4,0.253495838675487,0.00053213323638342,0.262971490626393,0.0100077851872897,-1.33570965334025,-4.60439197014763,-3.26868231680738,0.963966999128554,TRUE,"Worsened",-1.37240787156695,-7.53861665564884,-6.16620878408189
"berlin_a52cea2b",61,"f","medium",3600,"always","No restriction",804215.060023029,5819091.61111013,4.30332054738259e-24,0.00157494991174619,2.38854418988912e-05,3.75033823145567e-05,1,"60+","3600",5,0.00157494991174619,2.38854418988912e-05,0.00161245329406075,6.13888242134479e-05,-6.42999847463741,-9.69828275544574,-3.26828428080833,0.976741414803954,TRUE,"Worsened",-6.45353180927615,-10.6422414101886,-4.18870960091242
"berlin_8fce77e7",21,"f","medium",3000,"always","No restriction",809375.814066242,5816526.16274853,1.72264743804275e-27,9.22349214786879e-05,2.78562029312234e-07,3.36299014282068e-06,1,"15–29","3000",3,9.22349214786879e-05,2.78562029312234e-07,9.55979116215086e-05,3.64155217213291e-06,-9.25535958310882,-12.5231005462916,-3.26774096318273,0.964821510367973,TRUE,"Worsened",-9.29117174120905,-15.0936250759436,-5.80245333473456
"berlin_fd700287",50,"f","medium",2000,"always","No restriction",796439.227521093,5823721.84512989,7.16253956365892e-06,0.0704823116980294,9.25969109093088e-05,0.00269041123857182,1,"45–59","2000",12,0.0704823116980294,9.25969109093088e-05,0.0731798854761648,0.00279017068904479,-2.61483468435315,-5.88165250615111,-3.26681782179796,0.963137769886042,TRUE,"Worsened",-2.65239349854435,-9.28725477637929,-6.63486127783493
"berlin_08851a7d",25,"f","medium",3600,"always","No restriction",804514.050566256,5822954.62210668,1.95706626966497e-11,0.0119383035504422,1.72061632151848e-05,0.000455523902147985,1,"15–29","3600",3,0.0119383035504422,1.72061632151848e-05,0.0123938274721608,0.000472730084933833,-4.39055671481014,-7.65698597731233,-3.26642926250219,0.963245904242103,TRUE,"Worsened",-4.42800326231467,-10.9702429118642,-6.54223964954956
