personId,age,sex,economic_status,income,carAvail,restricted_mobility,homeX,homeY,accessibility,brainExpBeta
berlin_28da7384,51,f,medium,2000.0,always,true,801317.7756066043,5823227.373926762,0.05055653231351682,1.0,
berlin_9ab15678,40,f,very_high,5600.0,always,false,808751.641747209,5833959.956317151,0.0018779914363972327,1.0,
bb_55766c23,40,f,medium,3600.0,always,false,789054.8,5843575.19,7.42515651247248E-5,1.0,
bb_88e64e81,56,m,very_high,5600.0,always,false,747462.07,5805948.18,3.9249405959494924E-8,1.0,
berlin_a0cf15a7,35,f,high,5600.0,always,false,794137.1404865301,5819617.2343227705,0.021791216555390076,1.0,
berlin_07b719a1,34,f,high,3600.0,always,false,798609.3267301081,5825540.114502339,0.48068881885944176,1.0,
berlin_86b798bc,18,m,medium,1500.0,always,false,797259.4699333922,5832387.92762208,0.008138418649385436,1.0,
berlin_491f9d36,3,m,low,2000.0,never,false,795993.1972298947,5823379.517644409,0.06078398664911006,1.0,
berlin_99cda5bb,57,f,very_high,5600.0,always,false,793717.83377474,5820351.42500499,0.04097083356119377,1.0,
berlin_0ad85f5b,74,m,medium,2000.0,always,false,798170.8876946387,5825779.427558741,0.3067726713822297,1.0,
bb_d80cfe8e,58,m,high,3600.0,always,false,814818.39,5796840.94,1.828303503954547E-7,1.0,
berlin_97ad1c60,52,f,medium,1500.0,always,false,803308.1376602807,5831981.987260158,0.012807825972926476,1.0,
berlin_b46ef107,35,f,high,3600.0,always,false,783393.7235154472,5828120.070915699,0.2167617489112147,1.0,
berlin_88282cee,41,f,high,4600.0,always,false,797990.1597216185,5819702.1383642135,0.016691450175595455,1.0,
berlin_7f8db2d4,45,m,medium,3000.0,always,false,797549.0221722431,5820951.768013771,0.025053132545538377,1.0,
berlin_cde8d37f,40,f,medium,2600.0,always,false,792594.0420167719,5817545.512483193,0.0020582735693414895,1.0,
berlin_604f4327,35,m,medium,2000.0,always,false,798135.6884926739,5829107.096248239,0.07592509060254074,1.0,
berlin_ac3af246,24,f,medium,3600.0,always,false,802210.2815133799,5821062.511463294,0.010577932873981974,1.0,
berlin_b73e071d,32,f,very_low,1500.0,always,false,789618.6020725375,5834934.5844364,2.3883830762903006E-4,1.0,
bb_f43d1823,66,m,high,3600.0,always,true,808982.48,5837868.58,3.394825682254067E-4,1.0,
berlin_dd61350e,22,f,high,3600.0,always,false,795228.1362920605,5818751.198138881,0.00651373278123628,1.0,
bb_147cea56,37,m,low,2000.0,always,false,822061.95,5829452.77,1.4481449593253538E-7,1.0,
berlin_b4d47ac5,43,f,medium,3600.0,always,false,793681.6474555279,5824162.921266308,0.0935520440904092,1.0,
berlin_432ad996,34,m,very_low,2000.0,always,true,798631.3677121048,5828525.309228298,0.12304045848457691,1.0,
bb_ccecd990,35,f,high,4600.0,always,false,768445.74,5820972.41,1.707227181069291E-4,1.0,
berlin_33f6c550,56,f,very_low,900.0,always,false,796970.748025215,5820814.0327548245,0.001351620855194581,1.0,
berlin_9448a596,75,m,low,900.0,always,false,809494.4155555404,5830178.154375809,4.0857880584115034E-6,1.0,
bb_151359df,75,m,medium,3000.0,always,false,829470.01,5839612.11,1.2171370569240527E-8,1.0,
berlin_e52a1762,49,m,high,2600.0,always,false,803995.7825588661,5826089.280927364,0.01315353037564117,1.0,
bb_72e576b1,64,f,very_low,500.0,always,false,762020.24,5834827.77,4.1733657217713376E-17,1.0,
bb_0ab02506,9,f,high,4600.0,never,false,777013.11,5814420.73,5.63548147425282E-5,1.0,
berlin_f08f77f4,64,f,medium,1500.0,always,true,810610.9631916967,5822875.520650572,9.922906529641885E-6,1.0,
bb_d38ccc7b,69,m,very_low,1500.0,always,false,781440.08,5809348.97,5.986029996399648E-7,1.0,
bb_f418e929,43,f,very_high,5600.0,always,false,796552.65,5852151.6,6.633312927343164E-5,1.0,
berlin_e7ff3df2,40,m,medium,3600.0,always,false,801000.4821113219,5829943.923620549,0.3463552069076379,1.0,
berlin_d3a3a6e4,7,m,very_high,5600.0,never,false,798528.3181550123,5824887.555143893,0.39857869706652593,1.0,
bb_7714b0db,11,f,medium,3600.0,never,false,772303.75,5796090.93,1.919479202932137E-5,1.0,
berlin_250b0798,23,f,high,5600.0,always,false,793184.6902256982,5826452.369682728,0.159534355288931,1.0,
berlin_47ad9b9b,5,m,high,4600.0,never,false,796413.269122527,5830394.7700428,0.1192466193903374,1.0,
berlin_67a59b07,19,f,medium,2000.0,always,false,798704.8945947288,5835149.829937546,0.0037510540180446294,1.0,
bb_9b088a72,36,m,low,1500.0,always,false,767037.94,5825588.76,1.8012963164438516E-7,1.0,
bb_c475c775,42,f,medium,1500.0,always,false,774977.49,5830915.22,1.758365238610086E-4,1.0,
berlin_205f6985,9,m,very_high,5600.0,never,false,794183.4666945561,5820807.139720552,0.05058042392203162,1.0,
