id,xcoord,ycoord,time,car_accessibility
2008,688517.63,5703686.9,28800.0,-345.616282521081
2231,689517.63,5703686.9,28800.0,-343.3720263524369
2454,690517.63,5703686.9,28800.0,-341.16391835652416
2677,691517.63,5703686.9,28800.0,-338.99275371635616
2900,692517.63,5703686.9,28800.0,-336.85933721214764
3123,693517.63,5703686.9,28800.0,-334.76448255981387
3346,694517.63,5703686.9,28800.0,-332.70901168113903
3569,695517.63,5703686.9,28800.0,-330.6937539032973
3792,696517.63,5703686.9,28800.0,-328.7195450856469
4015,697517.63,5703686.9,28800.0,-326.78722667200714
4238,698517.63,5703686.9,28800.0,-322.7582763181357
4461,699517.63,5703686.9,28800.0,-320.57223085742453
4684,700517.63,5703686.9,28800.0,-318.4259068514585
4907,701517.63,5703686.9,28800.0,-316.3202164088481
5130,702517.63,5703686.9,28800.0,-314.2560817065823
5353,703517.63,5703686.9,28800.0,-312.2344340020369
5576,704517.63,5703686.9,28800.0,-310.25621254802394
5799,705517.63,5703686.9,28800.0,-308.32236340823545
6022,706517.63,5703686.9,28800.0,-306.4338381709303
6245,707517.63,5703686.9,28800.0,-304.59159255927597
6468,708517.63,5703686.9,28800.0,-302.7965849374128
6691,709517.63,5703686.9,28800.0,-301.04977471203796
6914,710517.63,5703686.9,28800.0,-299.3521206301242
7137,711517.63,5703686.9,28800.0,-297.70457897428537
7360,712517.63,5703686.9,28800.0,-296.10810165827337
7583,713517.63,5703686.9,28800.0,-294.5636342261414
7806,714517.63,5703686.9,28800.0,-293.0721137597168
8029,715517.63,5703686.9,28800.0,-291.63446670019584
8252,716517.63,5703686.9,28800.0,-290.2516065908833
8475,717517.63,5703686.9,28800.0,-288.9244317493369
8698,718517.63,5703686.9,28800.0,-287.6538228784334
8921,719517.63,5703686.9,28800.0,-286.4406406271131
9144,720517.63,5703686.9,28800.0,-285.2857231127855
9367,721517.63,5703686.9,28800.0,-284.1898834185433
9590,722517.63,5703686.9,28800.0,-284.5537823069589
9813,723517.63,5703686.9,28800.0,-280.74388506540333
10036,724517.63,5703686.9,28800.0,-276.94020028742034
10259,725517.63,5703686.9,28800.0,-273.14302939164565
10482,726517.63,5703686.9,28800.0,-269.35269304776494
10705,727517.63,5703686.9,28800.0,-265.56953268810804
10928,728517.63,5703686.9,28800.0,-261.7939121585203
11151,729517.63,5703686.9,28800.0,-258.0262195230188
11374,730517.63,5703686.9,28800.0,-254.2668690383901
11597,731517.63,5703686.9,28800.0,-250.51630331672828
11820,732517.63,5703686.9,28800.0,-246.77499569597575
12043,733517.63,5703686.9,28800.0,-243.04345284082717
12266,734517.63,5703686.9,28800.0,-239.32221759893247
