id,xcoord,ycoord,time,car_accessibility_base,car_accessibility_policy,delta
26091,796517.63,5702686.9,28800,-45.19279699,-45.1927983,-1.31574E-06
26314,797517.63,5702686.9,28800,-48.22889536,-48.22889668,-1.31574E-06
26537,798517.63,5702686.9,28800,-52.11362117,-52.11362248,-1.30824E-06
26760,799517.63,5702686.9,28800,-55.07911446,-55.07911577,-1.30824E-06
26983,800517.63,5702686.9,28800,-58.12176765,-58.12176896,-1.30824E-06
27206,801517.63,5702686.9,28800,-56.87731541,-56.87731675,-1.33244E-06
27429,802517.63,5702686.9,28800,-52.91287353,-52.91287487,-1.33244E-06
27652,803517.63,5702686.9,28800,-48.94843165,-48.94843298,-1.33244E-06
27875,804517.63,5702686.9,28800,-46.73117266,-46.731174,-1.33244E-06
28098,805517.63,5702686.9,28800,-50.71455347,-50.7145548,-1.33244E-06
28321,806517.63,5702686.9,28800,-54.71287957,-54.7128809,-1.33244E-06
28544,807517.63,5702686.9,28800,-57.02939791,-57.02939909,-1.17247E-06
28767,808517.63,5702686.9,28800,-55.16777757,-55.16777875,-1.17247E-06
28990,809517.63,5702686.9,28800,-54.81830784,-54.81830902,-1.17247E-06
29213,810517.63,5702686.9,28800,-55.75172803,-55.7517293,-1.27104E-06
29436,811517.63,5702686.9,28800,-54.05907791,-54.05907916,-1.24947E-06
29659,812517.63,5702686.9,28800,-50.17364871,-50.17364996,-1.24947E-06
29882,813517.63,5702686.9,28800,-47.44442387,-47.44442514,-1.26953E-06
30105,814517.63,5702686.9,28800,-49.45016172,-49.45016285,-1.13011E-06
30328,815517.63,5702686.9,28800,-53.10546688,-53.1054681,-1.22855E-06
30551,816517.63,5702686.9,28800,-54.47793137,-54.47793453,-3.15277E-06
30774,817517.63,5702686.9,28800,-55.69847654,-55.69849618,-1.96349E-05
30997,818517.63,5702686.9,28800,-54.70548019,-54.70553008,-4.98837E-05
31220,819517.63,5702686.9,28800,-54.16084586,-54.16112166,-0.000275799
31443,820517.63,5702686.9,28800,-51.17927643,-51.17955223,-0.000275799
31666,821517.63,5702686.9,28800,-49.46340946,-49.46370198,-0.000292517
31889,822517.63,5702686.9,28800,-49.58832433,-49.58903364,-0.000709301
32112,823517.63,5702686.9,28800,-51.55422639,-51.56294007,-0.008713683
32335,824517.63,5702686.9,28800,-51.48920909,-51.49792277,-0.008713683
32558,825517.63,5702686.9,28800,-51.17440858,-51.19424371,-0.019835127
32781,826517.63,5702686.9,28800,-51.65271577,-51.68103492,-0.028319159
33004,827517.63,5702686.9,28800,-50.71257022,-50.78261232,-0.070042099
33227,828517.63,5702686.9,28800,-51.27850663,-51.39897744,-0.120470811
33450,829517.63,5702686.9,28800,-51.84808491,-52.17185904,-0.323774133
33673,830517.63,5702686.9,28800,-53.36386875,-53.74059025,-0.376721498
33896,831517.63,5702686.9,28800,-52.67607349,-53.24196872,-0.565895232
34119,832517.63,5702686.9,28800,-53.46427239,-54.0296298,-0.565357402
34342,833517.63,5702686.9,28800,-55.25096893,-55.82143685,-0.570467914
34565,834517.63,5702686.9,28800,-57.14537695,-57.79111608,-0.645739138
34788,835517.63,5702686.9,28800,-58.43912621,-59.08486534,-0.645739138
35011,836517.63,5702686.9,28800,-60.54383911,-61.18957825,-0.645739138
35234,837517.63,5702686.9,28800,-62.97561308,-63.54524905,-0.569635967
35457,838517.63,5702686.9,28800,-63.2521328,-63.78632193,-0.53418913
35680,839517.63,5702686.9,28800,-59.42477196,-59.95896109,-0.53418913
35903,840517.63,5702686.9,28800,-55.9841139,-56.55605277,-0.571938868
36126,841517.63,5702686.9,28800,-54.31568315,-54.88460377,-0.568920627
36349,842517.63,5702686.9,28800,-56.34499363,-57.04734369,-0.702350051
36572,843517.63,5702686.9,28800,-58.2522992,-59.05693316,-0.804633959
36795,844517.63,5702686.9,28800,-59.74283729,-60.54747125,-0.804633959
37018,845517.63,5702686.9,28800,-56.71457061,-57.27607682,-0.561506207
37241,846517.63,5702686.9,28800,-55.41251625,-55.97402246,-0.561506207
37464,847517.63,5702686.9,28800,-59.43909393,-60.00060013,-0.561506207
37687,848517.63,5702686.9,28800,-63.17491158,-63.72816615,-0.553254565
37910,849517.63,5702686.9,28800,-62.38811959,-62.95102576,-0.562906178
38133,850517.63,5702686.9,28800,-62.59823885,-63.13397793,-0.535739075
38356,851517.63,5702686.9,28800,-63.30994145,-63.84488276,-0.534941305
38579,852517.63,5702686.9,28800,-65.27904955,-65.81399086,-0.534941305
38802,853517.63,5702686.9,28800,-68.11795185,-68.65289316,-0.534941305
39025,854517.63,5702686.9,28800,-71.4121969,-71.9471382,-0.534941305
39248,855517.63,5702686.9,28800,-74.95061951,-75.48556082,-0.534941305
39471,856517.63,5702686.9,28800,-78.62927121,-79.16421251,-0.534941305
39694,857517.63,5702686.9,28800,-82.3941838,-82.9291251,-0.534941305
39917,858517.63,5702686.9,28800,-86.21536483,-86.75030613,-0.534941305
40140,859517.63,5702686.9,28800,-90.07506341,-90.61000471,-0.534941305
40363,860517.63,5702686.9,28800,-93.96219112,-94.49713243,-0.534941305
40586,861517.63,5702686.9,28800,-97.86949938,-98.40444068,-0.534941305
40809,862517.63,5702686.9,28800,-101.792065,-102.3270063,-0.534941305
41032,863517.63,5702686.9,28800,-105.7264339,-106.2613752,-0.534941305
41255,864517.63,5702686.9,28800,-109.6701152,-110.2050565,-0.534941305
41478,865517.63,5702686.9,28800,-113.6212687,-114.15621,-0.534941305
41701,866517.63,5702686.9,28800,-117.0373531,-117.8347214,-0.797368327
41924,867517.63,5702686.9,28800,-121.0303384,-122.1717796,-1.141441201
42147,868517.63,5702686.9,28800,-120.1823962,-121.3238374,-1.141441201
42370,869517.63,5702686.9,28800,-119.5766548,-120.718096,-1.141441201
42593,870517.63,5702686.9,28800,-119.2201168,-120.361558,-1.141441201
42816,871517.63,5702686.9,28800,-119.1170299,-120.2584711,-1.141441201
43039,872517.63,5702686.9,28800,-119.2686401,-120.4100813,-1.141441201
43262,873517.63,5702686.9,28800,-119.6731178,-120.814559,-1.141441201
43485,874517.63,5702686.9,28800,-120.3256658,-121.467107,-1.141441201
43708,875517.63,5702686.9,28800,-121.2187968,-122.360238,-1.141441201
43931,876517.63,5702686.9,28800,-122.3427414,-123.4841826,-1.141441201
44154,877517.63,5702686.9,28800,-123.6859404,-124.8273816,-1.141441201
44377,878517.63,5702686.9,28800,-125.2355669,-126.3770081,-1.141441201
44600,879517.63,5702686.9,28800,-126.9780321,-128.1194733,-1.141441201
44823,880517.63,5702686.9,28800,-128.8994401,-130.0408813,-1.141441201
45046,881517.63,5702686.9,28800,-130.98597,-132.1274112,-1.141441201
45269,882517.63,5702686.9,28800,-133.2241751,-134.3656163,-1.141441201
45492,883517.63,5702686.9,28800,-135.6012036,-136.7426448,-1.141441201
45715,884517.63,5702686.9,28800,-138.1049456,-139.2463868,-1.141441201
45938,885517.63,5702686.9,28800,-140.7241196,-141.8655608,-1.141441201
46161,886517.63,5702686.9,28800,-143.448311,-144.5897522,-1.141441201
46384,887517.63,5702686.9,28800,-146.267974,-147.4094152,-1.141441201
46607,888517.63,5702686.9,28800,-148.9354177,-150.0794097,-1.143991997
46830,889517.63,5702686.9,28800,-149.2350319,-150.3790239,-1.143991997
47053,890517.63,5702686.9,28800,-149.7071819,-150.8511739,-1.143991997
1,679517.63,5703686.9,28800,-364.6742745,-364.7120403,-0.037765772
224,680517.63,5703686.9,28800,-362.4908479,-362.5286136,-0.037765772
447,681517.63,5703686.9,28800,-362.2736915,-362.3259024,-0.052210892
670,682517.63,5703686.9,28800,-359.7977474,-359.8499582,-0.052210892
893,683517.63,5703686.9,28800,-357.3526962,-357.4049071,-0.052210892
1116,684517.63,5703686.9,28800,-354.9392528,-354.9914637,-0.052210892
1339,685517.63,5703686.9,28800,-352.5581443,-352.6103552,-0.052210892
1562,686517.63,5703686.9,28800,-350.2101101,-350.262321,-0.052210892
1785,687517.63,5703686.9,28800,-347.8959019,-347.9481128,-0.052210892
2008,688517.63,5703686.9,28800,-345.6162825,-345.6684934,-0.052210892
2231,689517.63,5703686.9,28800,-343.3720264,-343.4242372,-0.052210892
2454,690517.63,5703686.9,28800,-341.1639184,-341.2161292,-0.052210892
2677,691517.63,5703686.9,28800,-338.9927537,-339.0449646,-0.052210892
2900,692517.63,5703686.9,28800,-336.8593372,-336.9115481,-0.052210892
3123,693517.63,5703686.9,28800,-334.7644826,-334.8166935,-0.052210892
3346,694517.63,5703686.9,28800,-332.7090117,-332.7612226,-0.052210892
3569,695517.63,5703686.9,28800,-330.6937539,-330.7459648,-0.052210892
3792,696517.63,5703686.9,28800,-328.7195451,-328.771756,-0.052210892
4015,697517.63,5703686.9,28800,-326.7872267,-326.8394376,-0.052210892
4238,698517.63,5703686.9,28800,-322.7582763,-322.8104718,-0.052195524
4461,699517.63,5703686.9,28800,-320.5722309,-320.6244264,-0.052195524
4684,700517.63,5703686.9,28800,-318.4259069,-318.4781024,-0.052195524
4907,701517.63,5703686.9,28800,-316.3202164,-316.3724119,-0.052195524
5130,702517.63,5703686.9,28800,-314.2560817,-314.3082772,-0.052195524
5353,703517.63,5703686.9,28800,-312.234434,-312.2866295,-0.052195524
