id,xcoord,ycoord,time,car_accessibility
11151,729517.63,5703686.9,28800.0,-258.02622028555504
11374,730517.63,5703686.9,28800.0,-254.26686980092626
11597,731517.63,5703686.9,28800.0,-250.51630407926444
11820,732517.63,5703686.9,28800.0,-246.7749964585119
12043,733517.63,5703686.9,28800.0,-243.04345360336333
12266,734517.63,5703686.9,28800.0,-239.32221836146863
12489,735517.63,5703686.9,28800.0,-235.61187290273193
12712,736517.63,5703686.9,28800.0,-231.91304217269368
12935,737517.63,5703686.9,28800.0,-228.2263976945258
13158,738517.63,5703686.9,28800.0,-224.55266175808845
13381,739517.63,5703686.9,28800.0,-220.89261203882896
13604,740517.63,5703686.9,28800.0,-217.2470866940557
13827,741517.63,5703686.9,28800.0,-213.61698998931809
14050,742517.63,5703686.9,28800.0,-210.00329851325785
14273,743517.63,5703686.9,28800.0,-206.4070680453547
14496,744517.63,5703686.9,28800.0,-202.829441147418
14719,745517.63,5703686.9,28800.0,-199.2716555563946
14942,746517.63,5703686.9,28800.0,-195.73505346292023
15165,747517.63,5703686.9,28800.0,-192.221091766828
15388,748517.63,5703686.9,28800.0,-188.73135340720813
15611,749517.63,5703686.9,28800.0,-185.26755987013172
15834,750517.63,5703686.9,28800.0,-181.83158498115165
16057,751517.63,5703686.9,28800.0,-178.42547009127577
16280,752517.63,5703686.9,28800.0,-175.05144076305425
16503,753517.63,5703686.9,28800.0,-171.71192505609744
16726,754517.63,5703686.9,28800.0,-168.40957349658117
16949,755517.63,5703686.9,28800.0,-165.14728079029334
17172,756517.63,5703686.9,28800.0,-161.92820929990813
17395,757517.63,5703686.9,28800.0,-158.75581424988337
17618,758517.63,5703686.9,28800.0,-155.63387054101372
17841,759517.63,5703686.9,28800.0,-152.56650094442494
18064,760517.63,5703686.9,28800.0,-149.55820529370408
18287,761517.63,5703686.9,28800.0,-146.6138900950502
18510,762517.63,5703686.9,28800.0,-143.73889771954848
18733,763517.63,5703686.9,28800.0,-140.93903402035548
18956,764517.63,5703686.9,28800.0,-138.22059282466034
19179,765517.63,5703686.9,28800.0,-135.5903752849647
19402,766517.63,5703686.9,28800.0,-133.05570154505523
19625,767517.63,5703686.9,28800.0,-136.32571391657603
19848,768517.63,5703686.9,28800.0,-132.38726014537005
20071,769517.63,5703686.9,28800.0,-128.454663507562
20294,770517.63,5703686.9,28800.0,-124.52879327558723
20517,771517.63,5703686.9,28800.0,-120.6106976928548
20740,772517.63,5703686.9,28800.0,-116.70165192007308
20963,773517.63,5703686.9,28800.0,-112.80322202860138
21186,774517.63,5703686.9,28800.0,-108.9173515606204
21409,775517.63,5703686.9,28800.0,-105.04648032085258
21632,776517.63,5703686.9,28800.0,-101.19370997617571
21855,777517.63,5703686.9,28800.0,-97.36303885122706
22078,778517.63,5703686.9,28800.0,-93.5597009641722
22301,779517.63,5703686.9,28800.0,-89.79066522388223
22524,780517.63,5703686.9,28800.0,-86.06538570768717
22747,781517.63,5703686.9,28800.0,-82.24912943631946
22970,782517.63,5703686.9,28800.0,-78.29060618582544
23193,783517.63,5703686.9,28800.0,-74.34339386903392
23416,784517.63,5703686.9,28800.0,-70.4127957795008
23639,785517.63,5703686.9,28800.0,-66.50798842292939
23862,786517.63,5703686.9,28800.0,-62.646252328005744
24085,787517.63,5703686.9,28800.0,-58.86403226529471
24308,788517.63,5703686.9,28800.0,-55.25108509712357
24531,789517.63,5703686.9,28800.0,-52.077683905699615
24754,790517.63,5703686.9,28800.0,-50.24556780312694
24977,791517.63,5703686.9,28800.0,-51.14662266203667
25200,792517.63,5703686.9,28800.0,-53.98007248565768
25423,793517.63,5703686.9,28800.0,-51.1015734197476
25646,794517.63,5703686.9,28800.0,-47.46240336093884
25869,795517.63,5703686.9,28800.0,-45.94666690635983
26092,796517.63,5703686.9,28800.0,-45.23358445295588
26315,797517.63,5703686.9,28800.0,-48.852482893103506
26538,798517.63,5703686.9,28800.0,-52.825901764013985
26761,799517.63,5703686.9,28800.0,-57.79674045754615
26984,800517.63,5703686.9,28800.0,-58.99069486377961
27207,801517.63,5703686.9,28800.0,-55.14224357587507
27430,802517.63,5703686.9,28800.0,-51.2937922879718
27653,803517.63,5703686.9,28800.0,-47.50610550312935
27876,804517.63,5703686.9,28800.0,-47.3968308824934
28099,805517.63,5703686.9,28800.0,-51.297290275349006
28322,806517.63,5703686.9,28800.0,-52.06124109500727
28545,807517.63,5703686.9,28800.0,-53.01987448010346
28768,808517.63,5703686.9,28800.0,-51.4767891608786
28991,809517.63,5703686.9,28800.0,-50.88072875483097
29214,810517.63,5703686.9,28800.0,-51.788160834240195
29437,811517.63,5703686.9,28800.0,-51.40252680706173
29660,812517.63,5703686.9,28800.0,-49.32705695805203
29883,813517.63,5703686.9,28800.0,-46.8205440950266
30106,814517.63,5703686.9,28800.0,-49.61958348003556
30329,815517.63,5703686.9,28800.0,-48.836478323042634
30552,816517.63,5703686.9,28800.0,-50.971522751341965
30775,817517.63,5703686.9,28800.0,-51.813885862341266
30998,818517.63,5703686.9,28800.0,-50.79631890976589
31221,819517.63,5703686.9,28800.0,-49.653161951120936
31444,820517.63,5703686.9,28800.0,-49.21689030386021
31667,821517.63,5703686.9,28800.0,-48.604941127156756
31890,822517.63,5703686.9,28800.0,-52.57682251286914
32113,823517.63,5703686.9,28800.0,-53.67001208430958
32336,824517.63,5703686.9,28800.0,-52.81547411230756
32559,825517.63,5703686.9,28800.0,-54.50614963155307
32782,826517.63,5703686.9,28800.0,-54.038170046938916
33005,827517.63,5703686.9,28800.0,-50.32705933789644
33228,828517.63,5703686.9,28800.0,-53.57224486228641
33451,829517.63,5703686.9,28800.0,-53.20431987477729
33674,830517.63,5703686.9,28800.0,-51.352067100140786
33897,831517.63,5703686.9,28800.0,-52.78981582321469
34120,832517.63,5703686.9,28800.0,-54.57553141386769
34343,833517.63,5703686.9,28800.0,-53.53905181063704
34566,834517.63,5703686.9,28800.0,-53.81578662493838
34789,835517.63,5703686.9,28800.0,-55.66277807020991
35012,836517.63,5703686.9,28800.0,-58.35941355504224
35235,837517.63,5703686.9,28800.0,-59.791716635325976
35458,838517.63,5703686.9,28800.0,-61.525607680231495
35681,839517.63,5703686.9,28800.0,-59.93338353779251
35904,840517.63,5703686.9,28800.0,-56.11497217327067
36127,841517.63,5703686.9,28800.0,-55.9154356187396
36350,842517.63,5703686.9,28800.0,-57.53710905483358
36573,843517.63,5703686.9,28800.0,-57.269438139051154
36796,844517.63,5703686.9,28800.0,-59.66164903281224
37019,845517.63,5703686.9,28800.0,-57.6547670027784
37242,846517.63,5703686.9,28800.0,-55.27362932302411
37465,847517.63,5703686.9,28800.0,-58.680817132722225
37688,848517.63,5703686.9,28800.0,-60.794360457011045
37911,849517.63,5703686.9,28800.0,-59.07784190312062
38134,850517.63,5703686.9,28800.0,-59.13355535897532
38357,851517.63,5703686.9,28800.0,-60.2262625887204
38580,852517.63,5703686.9,28800.0,-63.04955704785159
38803,853517.63,5703686.9,28800.0,-66.54593300921044
39026,854517.63,5703686.9,28800.0,-70.28004401910502
39249,855517.63,5703686.9,28800.0,-74.11809068509548
39472,856517.63,5703686.9,28800.0,-78.00969334486139
39695,857517.63,5703686.9,28800.0,-81.93224930034852
39918,858517.63,5703686.9,28800.0,-85.8742314699236
40141,859517.63,5703686.9,28800.0,-89.82917791058942
40364,860517.63,5703686.9,28800.0,-93.79319589774808
40587,861517.63,5703686.9,28800.0,-97.76380455642
40810,862517.63,5703686.9,28800.0,-101.73934969922645
41033,863517.63,5703686.9,28800.0,-105.7186867450795
41256,864517.63,5703686.9,28800.0,-109.32015621111731
41479,865517.63,5703686.9,28800.0,-112.18119774020548
41702,866517.63,5703686.9,28800.0,-115.17022180884359
41925,867517.63,5703686.9,28800.0,-118.2978764325484
42148,868517.63,5703686.9,28800.0,-117.39511164314965
42371,869517.63,5703686.9,28800.0,-116.74921484780236
42594,870517.63,5703686.9,28800.0,-116.36864227314274
42817,871517.63,5703686.9,28800.0,-116.25854998853995
43040,872517.63,5703686.9,28800.0,-116.42045430501793
43263,873517.63,5703686.9,28800.0,-116.85212917990896
43486,874517.63,5703686.9,28800.0,-117.54775640684377
43709,875517.63,5703686.9,28800.0,-118.49830557978652
43932,876517.63,5703686.9,28800.0,-119.6920881578011
44155,877517.63,5703686.9,28800.0,-121.11541131538645
44378,878517.63,5703686.9,28800.0,-122.75325526783968
44601,879517.63,5703686.9,28800.0,-124.58990966447328
44824,880517.63,5703686.9,28800.0,-126.6095244767148
45047,881517.63,5703686.9,28800.0,-128.79655222460968
45270,882517.63,5703686.9,28800.0,-131.13607671636808
45493,883517.63,5703686.9,28800.0,-133.61403645151702
45716,884517.63,5703686.9,28800.0,-136.21735823285508
45939,885517.63,5703686.9,28800.0,-138.93401934427737
46162,886517.63,5703686.9,28800.0,-141.7530563182045
46385,887517.63,5703686.9,28800.0,-143.27640398396298
46608,888517.63,5703686.9,28800.0,-146.08532727684744
46831,889517.63,5703686.9,28800.0,-146.39856481365803
47054,890517.63,5703686.9,28800.0,-146.89199140188853
2,679517.63,5704686.9,28800.0,-361.37915059050994
225,680517.63,5704686.9,28800.0,-359.17321872301295
448,681517.63,5704686.9,28800.0,-357.00195533244926
671,682517.63,5704686.9,28800.0,-356.7058263616142
894,683517.63,5704686.9,28800.0,-354.2364735396879
1117,684517.63,5704686.9,28800.0,-351.7986694504463
1340,685517.63,5704686.9,28800.0,-349.3931548371751
1563,686517.63,5704686.9,28800.0,-347.02068353533224
1786,687517.63,5704686.9,28800.0,-344.6820221829742
2009,688517.63,5704686.9,28800.0,-342.3779498777274
2232,689517.63,5704686.9,28800.0,-340.1092577770435
2455,690517.63,5704686.9,28800.0,-337.8767486384906
2678,691517.63,5704686.9,28800.0,-335.6812362968666
2901,692517.63,5704686.9,28800.0,-333.52354507499774
3124,693517.63,5704686.9,28800.0,-331.4045091251886
3347,694517.63,5704686.9,28800.0,-329.32497169844044
3570,695517.63,5704686.9,28800.0,-327.28578433874327
3793,696517.63,5704686.9,28800.0,-325.28780599998726
4016,697517.63,5704686.9,28800.0,-323.33190208332303
4239,698517.63,5704686.9,28800.0,-321.4189433931449
4462,699517.63,5704686.9,28800.0,-317.27018123745756
4685,700517.63,5704686.9,28800.0,-315.0980671711164
4908,701517.63,5704686.9,28800.0,-312.96668420415597
5131,702517.63,5704686.9,28800.0,-310.87697968445946
5354,703517.63,5704686.9,28800.0,-308.8299111681059
5577,704517.63,5704686.9,28800.0,-306.82644532263635
5800,705517.63,5704686.9,28800.0,-304.8675567236411
6023,706517.63,5704686.9,28800.0,-302.95422654195147
6246,707517.63,5704686.9,28800.0,-301.0874411193088
6469,708517.63,5704686.9,28800.0,-299.26819043106036
6692,709517.63,5704686.9,28800.0,-297.4974664352084
6915,710517.63,5704686.9,28800.0,-295.7762613080051
7138,711517.63,5704686.9,28800.0,-294.1055655672478
7361,712517.63,5704686.9,28800.0,-292.48636608548554
