personId,age,sex,economic_status,income,carAvail,restricted_mobility,homeX,homeY,accessibility,brainExpBeta
berlin_98476cba,44,f,very_high,5600.0,always,false,793430.707038387,5832825.956299927,0.002343587409200694,1.0,
berlin_e8bec847,64,m,very_low,500.0,always,false,806921.9043126083,5827083.594597958,1.3778506765480308E-9,1.0,
bb_f91d33f8,76,f,medium,2600.0,always,false,779525.71,5814784.78,6.912394388189621E-6,1.0,
berlin_5e561439,50,f,low,900.0,always,false,785065.146867082,5830054.480147443,0.05454436736836213,1.0,
berlin_aff402da,28,f,medium,2600.0,always,false,805621.2354507486,5827848.966021603,3.284822352761758E-4,1.0,
berlin_f2efa154,3,m,high,4600.0,never,false,801799.6610925968,5836199.451530546,0.0025425519893613373,1.0,
berlin_2a985079,92,m,medium,2600.0,always,true,800154.9410808033,5821666.159814144,4.690382122188361E-4,1.0,
berlin_ee60530d,27,f,medium,2000.0,always,false,794372.0749045338,5825309.892143916,7.048688320948143E-6,1.0,
berlin_ecfc807f,33,f,medium,1500.0,always,false,785426.1375754584,5831530.473395022,0.02009750965562631,1.0,
berlin_3ebae2b6,99,m,medium,2000.0,always,false,791163.1221098981,5817937.563459282,6.549771289309727E-4,1.0,
berlin_8f182197,20,m,medium,3600.0,always,false,792561.012043264,5822853.705895517,0.03209204582170284,1.0,
berlin_bd558915,7,m,medium,3000.0,never,false,807216.5594549453,5824862.206128432,1.4500697391375134E-5,1.0,
berlin_d258d4e3,47,m,very_high,5600.0,always,false,812278.0585669567,5831035.934169255,5.62348678814069E-5,1.0,
berlin_792592f6,9,m,very_low,1500.0,never,false,802158.8951922569,5817547.719772362,9.940413018333726E-7,1.0,
berlin_ddaa8500,22,m,medium,2600.0,always,false,796815.440574161,5831322.811239425,0.007869129035548166,1.0,
berlin_9088a5c9,41,m,medium,3600.0,always,false,795231.9717664716,5823432.107382338,0.009631375698860205,1.0,
berlin_74d6d788,43,m,high,3600.0,always,false,796249.5616776434,5829231.085508445,0.0017614281409697693,1.0,
berlin_4d96cd26,52,f,high,3600.0,always,false,802042.0483686989,5827554.745116405,2.9126066230461313E-5,1.0,
berlin_4c19d02d,25,f,medium,2000.0,always,false,780276.2773235829,5818383.50963647,2.8850696141149046E-4,1.0,
berlin_fe356b69,95,m,low,1500.0,always,true,790567.1089256108,5834872.270140329,5.3116677200100844E-5,1.0,
berlin_b8cf2790,89,m,low,900.0,always,false,785433.4040309365,5837457.490320588,3.1556272878757404E-8,1.0,
bb_f3f12c44,40,f,high,3600.0,always,true,770822.17,5814658.89,6.98659769076431E-6,1.0,
berlin_2e5c885e,29,f,high,4600.0,always,false,797652.4888976819,5824320.4316278985,1.0021195399060731E-5,1.0,
bb_23e6998b,36,m,low,2000.0,always,false,844423.68,5813711.64,1.3810254786268092E-15,1.0,
bb_21940383,2,f,high,3600.0,never,false,773767.4,5814781.16,4.4748026827856376E-5,1.0,
berlin_38d5a9b9,40,f,low,900.0,always,true,795524.9468046697,5833045.6752740955,2.1608928673308347E-4,1.0,
berlin_5a3668f4,69,m,medium,3000.0,always,false,800918.1353391155,5824783.020034328,6.628666447318941E-8,1.0,
bb_a2757f7d,40,m,very_high,5600.0,always,false,817108.47,5895778.55,2.57224736254514E-16,1.0,
berlin_0914d491,98,m,very_low,500.0,always,true,802179.8410544163,5831425.647400163,3.893646119006049E-4,1.0,
berlin_34a9dd2f,61,m,medium,2000.0,always,false,797959.6130514386,5826567.624228249,3.905535063206359E-9,1.0,
berlin_0d9734ca,68,m,low,900.0,always,false,794300.6684454974,5828080.731973369,1.1467098533659908E-5,1.0,
berlin_030a37e2,59,f,medium,2600.0,always,false,791481.7992694057,5834539.974180261,3.1396934727122294E-4,1.0,
bb_e1f6b9ce,35,f,very_high,5600.0,always,false,767701.0,5804508.67,6.469955916381481E-7,1.0,
berlin_dccd0a25,26,f,very_low,500.0,always,false,805098.8836814174,5841940.306292599,7.879286215643706E-11,1.0,
berlin_33eb9026,46,m,low,2600.0,always,false,797406.9749132722,5825145.537832313,1.7338843589912492E-6,1.0,
berlin_38e74f44,8,m,high,4600.0,never,false,798330.2151730701,5829795.247102958,1.5021925115505047E-4,1.0,
berlin_254c3c80,65,m,very_low,500.0,always,false,792381.7190382408,5815691.040549425,6.397732056477429E-9,1.0,
bb_be574cfe,41,m,very_high,5600.0,always,false,794109.04,5840091.54,1.6855426583109313E-4,1.0,
berlin_5e8b4e37,56,f,low,900.0,always,false,807724.5719781367,5815400.464723879,9.454853841220064E-11,1.0,
berlin_93fd8858,30,f,medium,3000.0,always,false,806508.0672402994,5833734.544424196,5.019361200291884E-4,1.0,
berlin_001407e3,37,f,high,4600.0,always,false,785480.5144571548,5816604.9117486505,4.957818780887663E-4,1.0,
bb_d9a71c14,3,m,high,3600.0,never,false,774776.41,5812355.79,8.966627269902758E-6,1.0,
berlin_153e153d,50,f,medium,2000.0,always,false,796324.3717276936,5823453.355267359,3.614712966560902E-5,1.0,
berlin_4c434ac1,51,f,high,4600.0,always,false,807482.3497858335,5821937.342423786,7.304245497119934E-6,1.0,
berlin_89586ebc,64,m,very_high,5600.0,always,false,789266.9732864003,5829326.291675817,0.009744916021254166,1.0,
bb_ce1ea307,48,m,very_low,500.0,always,true,808233.18,5842827.68,5.684659703479795E-13,1.0,
bb_38850da3,40,m,high,3000.0,always,false,808686.99,5842755.23,6.970458518980817E-6,1.0,
berlin_6854600c,15,m,very_high,5600.0,never,false,806517.8911799672,5815599.803197334,6.377488314278369E-6,1.0,
berlin_91b766df,55,m,medium,1500.0,always,false,810901.0714423349,5821243.391215655,2.9367839039722785E-8,1.0,
berlin_3c234275,29,f,low,1500.0,always,false,790209.5464010417,5833934.187113931,1.2317828279217568E-4,1.0,
berlin_fb1958a7,12,m,high,4600.0,never,false,810986.7639407099,5828960.655331884,4.149209095686238E-5,1.0,
berlin_244b7af0,53,f,high,3600.0,always,false,786550.8638450889,5818352.62008964,5.739928313815338E-4,1.0,
berlin_b66ea317,63,f,medium,2000.0,always,false,785980.9182995768,5831595.5414624065,0.01789658615634589,1.0,
berlin_9ef5b0c0,62,m,medium,3000.0,always,false,794465.1814165156,5824837.54745335,7.764345158967146E-5,1.0,
berlin_6a920f0a,59,f,high,3600.0,always,false,797730.488959329,5831807.810454428,0.015164652879431103,1.0,
berlin_7fe78cce,99,m,medium,2000.0,always,false,799231.3281022599,5830941.145635714,0.02300792025335558,1.0,
berlin_6aa1ce70,33,m,medium,2000.0,always,false,800784.1233681479,5825683.254102711,1.5833323196803926E-7,1.0,
berlin_7204450a,40,f,high,4600.0,always,false,801917.4375542537,5832035.573514652,0.01871072796048838,1.0,
berlin_4a2ff514,70,m,medium,2000.0,always,false,791568.8429889587,5825791.086927694,1.2459609120435305E-4,1.0,
berlin_c62b9a34,5,m,very_low,1500.0,never,false,786328.621044132,5834558.846580449,1.9533270326929104E-6,1.0,
berlin_4d8ca356,22,f,high,3000.0,always,false,796784.199019551,5831590.3013408445,0.007246958380396767,1.0,
bb_4a48bbaa,38,m,high,3600.0,always,false,749752.18,5856650.05,6.732268149845388E-10,1.0,
bb_4f5827c4,48,m,medium,1500.0,always,false,822203.18,5814775.4,6.270317374435872E-12,1.0,
berlin_768c6a76,62,f,low,1500.0,always,false,792202.2770976332,5816410.132356544,4.2914665505563475E-5,1.0,
berlin_c5013499,91,m,high,2600.0,always,false,798205.9024288212,5820062.161905472,2.2409050063982336E-4,1.0,
bb_13b6e122,75,m,medium,2600.0,always,true,779159.85,5821655.35,0.0037816981963368643,1.0,
berlin_f991868a,58,f,medium,3000.0,always,false,794247.5793056174,5827370.50162452,1.4206367362029525E-6,1.0,
berlin_e225c174,86,m,high,3600.0,always,true,789797.2040310944,5823615.643188919,0.01421193939626624,1.0,
berlin_9bab4779,49,f,high,5600.0,always,false,791938.8664830651,5818636.089694893,0.00499039877703504,1.0,
berlin_99946012,4,m,high,3600.0,never,false,785375.0751032608,5833556.9370915545,0.010333847145673179,1.0,
berlin_a62a3d82,48,f,very_low,500.0,always,false,794414.4006724362,5820308.264849588,8.409973700848219E-6,1.0,
berlin_0c53bd1f,23,f,very_high,5600.0,always,false,799059.6325422225,5830786.311765006,0.018861013225218458,1.0,
bb_8ea93a80,37,f,low,2000.0,always,false,815231.31,5804641.44,4.735892627925915E-10,1.0,
berlin_5d8b392f,56,f,medium,2600.0,always,false,810382.5494506741,5826834.627440167,1.2882145993260297E-5,1.0,
berlin_0e4b5e3a,61,m,high,4600.0,always,false,806118.7140024714,5827251.304768094,2.6843247180873914E-4,1.0,
bb_9950d664,30,f,medium,3600.0,always,false,759184.15,5813915.93,1.295869049227701E-7,1.0,
berlin_9b28dbef,63,f,medium,3000.0,always,false,800049.3637167438,5830658.08389115,0.1209303781993394,1.0,
berlin_4821aae5,1,m,very_high,5600.0,never,false,796818.6046951483,5832738.676410852,0.0054553695217645845,1.0,
berlin_36d0fb52,21,m,low,3000.0,always,false,803343.9178810695,5826694.97191819,1.0230250080692274E-4,1.0,
bb_0b9b6d64,38,f,very_low,499.0,always,false,804123.24,5797265.56,1.1055986369439751E-16,1.0,
berlin_5741c898,81,m,medium,2600.0,always,true,799032.9348071918,5813180.523982187,5.860348948557759E-6,1.0,
berlin_acaba1b1,83,m,medium,2600.0,always,false,801865.2342829825,5824036.565305808,3.89866701849581E-6,1.0,
berlin_41b4ebcc,9,m,medium,3600.0,never,false,790107.5189551853,5819171.757623945,0.0025461447368760742,1.0,
berlin_662e99d3,17,m,low,3000.0,never,false,799485.1469425007,5826178.507258056,6.398368131927127E-10,1.0,
berlin_7fc29192,34,f,medium,2600.0,always,false,795927.4394101328,5825305.11079305,5.25072395366226E-7,1.0,
bb_c29579b7,73,m,medium,1500.0,always,false,829949.96,5837216.11,1.6683488788127816E-12,1.0,
berlin_237016f3,30,f,low,2600.0,always,false,803850.9431994907,5841900.205367154,2.166479673437425E-5,1.0,
berlin_fa183ded,54,f,very_low,1500.0,always,false,795284.6243052562,5820044.658775449,4.0667538406183713E-4,1.0,
berlin_ac1545f8,60,f,low,900.0,always,false,795059.1752068874,5825991.412249777,5.669170713648183E-8,1.0,
berlin_4ec2edc5,1,m,high,3600.0,never,false,788908.8473079862,5826216.872380394,0.01855397953708179,1.0,
berlin_f947a11e,30,f,medium,3000.0,always,false,797838.4939390444,5824353.122165623,4.821505354070922E-6,1.0,
berlin_ff43ca8a,76,m,medium,2000.0,always,false,797366.5773098409,5836488.785908691,2.6645394431849763E-4,1.0,
berlin_00dc5a98,64,f,very_high,5600.0,always,false,782114.4792521975,5828217.124658226,0.13543610400564798,1.0,
berlin_982ad196,28,f,very_low,500.0,always,false,806016.240017896,5820965.079381032,1.4894762162175337E-9,1.0,
berlin_a4859895,91,m,very_high,5600.0,always,false,794524.4168430511,5836157.715794501,8.555895850694485E-4,1.0,
berlin_607f8eec,17,m,medium,3600.0,never,false,798314.9985314015,5828989.468926827,6.207569446622051E-6,1.0,
berlin_c8c117fe,19,f,very_low,900.0,always,false,784197.4462829537,5825583.223066086,0.010335418766009848,1.0,
berlin_b030091a,21,f,low,900.0,always,false,799581.8570086153,5834227.6026477385,5.892574198438288E-4,1.0,
berlin_a0aab251,37,f,high,3600.0,always,true,810603.6741851366,5820997.709719751,1.8977732919704336E-6,1.0,
bb_10f8810a,53,m,medium,3000.0,always,false,777450.54,5812992.37,3.64010087486697E-6,1.0,
berlin_90a3ebed,8,m,medium,3600.0,never,false,805528.1241912732,5817564.9583378965,6.186866405596349E-6,1.0,
berlin_7221c2dc,62,f,medium,1500.0,always,false,804086.5264491723,5829328.690775345,5.762026770792869E-4,1.0,
berlin_3c6f8778,28,m,medium,2000.0,always,false,797478.5806832011,5828561.328916143,9.041845238603654E-13,1.0,
berlin_a0b3bff2,53,f,high,2600.0,always,false,814036.0040185841,5821334.891312203,9.384395186228246E-8,1.0,
berlin_d1ded4d5,77,m,high,3000.0,always,false,792777.7849793755,5827387.260432087,2.059675637707971E-6,1.0,
berlin_e3a71af4,39,f,high,4600.0,always,false,806013.2345870407,5833120.169184655,0.0013769123529340115,1.0,
berlin_944ebab0,35,m,low,900.0,always,false,797187.1819890507,5827236.707015688,2.6647577332439187E-7,1.0,
berlin_0e465bba,62,f,high,3600.0,always,false,801651.3464725199,5824179.218799922,3.2070875862126936E-6,1.0,
bb_19c9c4b1,37,f,very_low,2000.0,always,false,791595.91,5846051.68,3.6918399157189986E-7,1.0,
bb_0a13684d,2,m,low,2000.0,never,false,816001.81,5795536.26,2.8888676332812547E-11,1.0,
berlin_d7330fe6,58,m,medium,2600.0,always,false,786154.0413929442,5817624.6304434,2.47802452056293E-4,1.0,
berlin_317e45c5,38,m,high,3600.0,always,false,798749.389827895,5829085.519559479,3.324408412594208E-5,1.0,
berlin_a97e05a5,48,f,high,3600.0,always,false,797271.8792044963,5830117.728326162,4.020325681392848E-4,1.0,
berlin_05c2d40d,70,m,medium,2000.0,always,false,811427.9767712839,5828830.784923356,2.7543774170616737E-6,1.0,
berlin_576512f8,39,f,very_high,5600.0,always,false,796803.1077159366,5830665.132558357,0.003927222312653024,1.0,
berlin_3ee1f305,32,m,very_low,1500.0,always,false,811941.4411605732,5831587.540700976,7.848731557489406E-7,1.0,
berlin_b6463ec2,56,f,low,900.0,always,false,809213.3599322129,5831521.157159904,3.9807620222595124E-7,1.0,
berlin_9f418b4a,5,m,medium,2600.0,never,false,803260.5519156363,5823072.356482692,8.132583670225603E-6,1.0,
berlin_74e2e6a5,35,f,high,4600.0,always,false,794589.9468385568,5836862.6796728885,2.6737511235200637E-4,1.0,
berlin_6730983a,21,f,high,3600.0,always,false,803940.7966851232,5830207.996042388,0.003278168079746068,1.0,
berlin_cba176eb,91,m,high,2600.0,always,false,808770.5819374309,5819384.850122205,9.115105075194537E-7,1.0,
berlin_2df0ec6b,22,m,medium,3000.0,always,false,816654.8628932991,5816974.277144941,3.68180979979482E-8,1.0,
bb_12d038bc,87,m,low,1500.0,always,false,779983.08,5812309.29,8.994216240878655E-8,1.0,
berlin_649070e8,32,f,high,4600.0,always,false,782915.4394379744,5827202.732752144,0.1376781376986895,1.0,
bb_7b100b21,8,m,medium,3600.0,never,false,775180.2,5814126.0,2.8035312450106093E-5,1.0,
berlin_ceae7335,34,f,high,3600.0,always,false,801580.4768978541,5828784.9711726885,3.4592203161233555E-4,1.0,
berlin_f789e5db,64,m,high,3600.0,always,false,793481.502708096,5819344.952318975,0.0028364814599709243,1.0,
bb_e7e12aba,48,m,very_high,5600.0,always,false,771838.61,5828789.19,0.0021134563871825925,1.0,
berlin_a6d99fe0,54,f,low,900.0,always,true,800168.6275464792,5824750.190633164,1.6190023227234606E-9,1.0,
berlin_704a9ed5,76,m,very_low,500.0,always,true,810601.4860324725,5825254.0468738675,9.30007745694871E-13,1.0,
berlin_b89c77b5,76,m,medium,1500.0,always,false,804692.7342234047,5834108.358401553,2.2988888440370647E-4,1.0,
berlin_cd5bdd10,12,m,very_low,2000.0,never,false,805667.0623099643,5819595.78193531,7.562450406285355E-7,1.0,
berlin_3bbf0896,2,m,medium,3000.0,never,false,810926.2804056208,5822013.911319081,1.9110073546965764E-6,1.0,
berlin_4e3ea019,15,m,very_low,900.0,never,false,780118.4124393762,5830054.804379263,8.931998096857427E-4,1.0,
berlin_79a20d4a,14,m,low,1500.0,always,false,790576.8777790986,5818687.808550999,4.1217965827344106E-4,1.0,
bb_53822124,59,f,very_low,500.0,always,true,783621.69,5845810.57,1.0752167856219415E-13,1.0,
bb_b5ed82ff,13,f,low,2600.0,never,false,816603.19,5783243.61,9.329400761993461E-15,1.0,
berlin_f1dbb746,49,m,very_high,5600.0,always,false,797412.1742974136,5823404.654391768,6.294836916308048E-4,1.0,
bb_d0fce939,61,f,very_low,900.0,always,false,776360.27,5830615.48,8.587220457439987E-5,1.0,
berlin_b1e51660,62,f,high,3000.0,always,false,793234.9595333214,5824198.687564171,8.779080895959852E-4,1.0,
berlin_62948aa1,62,m,medium,2000.0,always,false,795094.8273489147,5830256.011680316,0.01160047024114551,1.0,
berlin_b02e4464,24,f,medium,1500.0,always,false,799058.3083899732,5829051.686014963,8.313405879073546E-5,1.0,
berlin_7c9241c5,14,m,medium,3600.0,never,false,802926.4676486147,5818178.562733095,2.9374967697417803E-5,1.0,
bb_7c578917,40,m,high,3000.0,always,false,769835.68,5832518.76,7.477451498897612E-5,1.0,
berlin_307b86c0,65,m,medium,1500.0,always,false,799240.7632963601,5837173.748904081,3.2073276423872466E-4,1.0,
berlin_b462c9ea,78,m,medium,2000.0,always,false,808436.3400577633,5831607.403829268,2.6985881856314287E-5,1.0,
berlin_acf0a710,40,f,medium,3600.0,always,false,795969.0617915813,5824680.37204594,1.3006545702188015E-4,1.0,
bb_7f3297d3,56,f,high,3600.0,always,false,803128.5,5797042.1,4.7913473245646215E-6,1.0,
berlin_3894307c,95,m,very_high,5600.0,always,true,803206.5117978565,5827944.629413685,4.864453389261068E-4,1.0,
berlin_b57edf34,5,m,medium,2600.0,never,false,802389.7779841484,5818935.970389724,3.2670824182128135E-5,1.0,
berlin_032f2e91,85,m,low,1500.0,always,true,797051.9372015068,5816614.4960303055,8.132212904256482E-6,1.0,
berlin_b960149c,42,f,medium,1500.0,always,false,799419.7959915753,5834155.407081571,0.0025130492370479636,1.0,
berlin_9f414041,48,f,medium,1500.0,always,false,791617.0093967433,5827380.887412661,1.7670565185409672E-4,1.0,
berlin_ef537a7b,18,f,very_high,5600.0,always,false,791071.0962973996,5825857.420630542,9.919295654991053E-4,1.0,
berlin_1f09f61e,97,m,medium,2000.0,always,false,785840.2726494754,5837625.322844586,1.1817764859164313E-5,1.0,
berlin_74eb28f0,63,f,high,3600.0,always,false,810768.9844095699,5828966.492296553,2.732104975227451E-5,1.0,
berlin_9930e9a0,24,f,low,900.0,always,false,805954.1644266925,5817614.080718671,1.9767174119649845E-9,1.0,
berlin_4f0fed7d,40,f,medium,3000.0,always,false,812602.5285678627,5830977.536694815,1.3155492193727068E-5,1.0,
