personId,age,sex,income,homeX,homeY,district,twalk_rawSum,pt_rawSum,car_base_rawSum,car_policy_rawSum,twalk_logSum,pt_logSum,car_logSum_base,car_logSum_policy,car_delta,car_base_logSum_no_income,base_car_delta_incomeFactor,mm_logSum_base,mm_logSum_policy,mm_delta,outcome
berlin_049e8946,32,f,3600,798558.0154435977,5821738.836876026,Tempelhof-Schöneberg,2.8768440032178886e-10,0.00185299460275951,0.03412794011385955,0.0027437094657252,-21.96915706887174,-6.290952244387144,-3.3776388720056327,-5.898444454561919,-2.5208055825562865,-3.688809460098355,0.31117058809272224,-3.3247660640185384,-5.382415676567024,-2.0576496125484853,Loser
berlin_323d1f2d,33,f,2000,811004.5424445886,5817983.628327369,Treptow-Köpenick,4.437737578204315e-31,3.247904197384653e-5,2.565910222050983e-5,4.6312919964818626e-8,-69.88999319069676,-10.334915538984918,-10.57061218689822,-16.88784486586496,-6.3172326789667395,-9.276130756279818,-1.2944814306184025,-9.7526885829447,-10.333490622209052,-0.580802039264352,Loser
berlin_193ff772,97,m,1500,788320.8344803805,5827701.3471283205,Charlottenburg-Wilmersdorf,9.639844698575006e-12,0.02039671686033755,0.03333737309396825,0.02290419551348818,-25.36511611754219,-3.892381329302659,-3.4010761961863643,-3.776435175006891,-0.3753589788205267,-2.5912773283787933,-0.8097988678075709,-2.923707656461989,-3.1395815729840115,-0.21587391652202248,Loser
berlin_299ccf70,34,f,3000,793342.4253766278,5819615.337141938,Steglitz-Zehlendorf,2.0557137723483222e-14,4.690970494934734e-4,0.01373069585546212,0.00317389400935437,-31.51556817979903,-7.664700882367243,-4.28812137909816,-5.752796050833611,-1.4646746717354509,-4.411252665497264,0.12313128639910342,-4.254527898637881,-5.614950215290756,-1.3604223166528753,Loser
berlin_41832494,23,f,3600,797245.4444429104,5822900.708816858,Tempelhof-Schöneberg,1.1339203319702127e-6,0.00191739185886779,0.1259247790737356,0.00122840706760512,-13.689829609121162,-6.256789423253105,-2.072070541779315,-6.702037015909502,-4.629966474130187,-2.275211973398111,0.20314143161879628,-2.0569499458204112,-5.761326999924848,-3.704377054104437,Loser
berlin_fc9c0d2e,71,m,2000,802714.2460961363,5817956.179867887,Neukölln,2.360869392616615e-25,0.00203738858903713,2.733964846309871e-4,3.6187160856097697e-6,-56.70559738694939,-6.1960863945714495,-8.204587491727144,-12.529391267521245,-4.3248037757941,-7.26971983394026,-0.9348676577868842,-6.070167953456545,-6.194311815972819,-0.12414386251627363,Loser
berlin_a6c676ac,91,m,3000,803785.335521487,5818323.894417304,Neukölln,1.690474132599656e-25,2.7745159409546137e-4,6.825555393371089e-4,1.3709830435212134e-5,-57.03961828342935,-8.189864075685492,-7.289666657897924,-11.19739743243064,-3.9077307745327152,-7.461048626587115,0.1713819686891913,-6.9485698428710725,-8.141632721121868,-1.193062878250795,Loser
bb_647e8ec7,72,m,4600,776750.82,5840129.47,NA,1.748903137324541e-41,8.510608329405689e-7,2.218932877382673e-4,2.752714847598852e-4,-93.84700000000001,-13.976782226861427,-8.41331397752214,-8.197752729967561,0.21556124755457873,-9.872671543023744,1.4593575655016036,-8.409485863108237,-8.194665785017412,0.21482007809082582,Winner
berlin_f6772fd2,78,m,1500,790520.186398837,5820234.488705152,Steglitz-Zehlendorf,5.009627133792454e-16,5.400568463842488e-4,0.00549302080538541,0.0013870393785281,-35.22999999997031,-7.523836152864623,-5.204276937010875,-6.580583746900265,-1.3763068098893898,-4.140878001951614,-1.0633989350592614,-5.110498008436088,-6.2517409557095185,-1.1412429472734305,Loser
berlin_e2d82e4a,61,f,3600,805125.4038536402,5827640.638606626,Lichtenberg,7.138074249482812e-16,0.00242420713485803,0.01725923246613861,5.633169834930041e-4,-34.875918460889906,-6.02225076275175,-4.0594080632531355,-7.481668062521651,-3.4222599992685154,-4.374868829244544,0.3154607659914088,-3.9279776261562156,-5.813310288668644,-1.8853326625124285,Loser
berlin_ab9c37bc,24,m,900,811503.5142136281,5829301.122983807,Marzahn-Hellersdorf,1.823060147779783e-23,6.552797338026656e-5,4.7459738522074003e-7,1.6098428080884523e-8,-52.358940649865616,-9.633033431985542,-14.560799002397895,-17.944544204450242,-3.3837452020523475,-8.474184234077503,-6.086614768320391,-9.625816865704186,-9.63278778955067,-0.006970923846484567,Loser
berlin_f8f24d59,49,f,900,792648.492341029,5828224.959734798,Charlottenburg-Wilmersdorf,2.36593247573896e-7,0.01215725434928165,0.0139831808575243,2.0268671221632545e-7,-15.256923425226558,-4.40982922158394,-4.2699000389067825,-15.41160433957739,-11.141704300670607,-2.4814058647880057,-1.7884941741187768,-3.644262871037744,-4.409793089081397,-0.765530218043653,Loser
