personId,time,mode,age,sex,economic_status,carAvail,restricted_mobility,homeX,homeY,accessibility
bb_3e450d9d,28800.0,car,2,f,medium,never,false,815261.18,5807365.86,-38.64552264676149,
bb_b80b59a5,28800.0,car,70,f,medium,always,true,818525.09,5824159.07,-22.05938117176602,
bb_c98701d0,28800.0,car,63,m,medium,always,false,803162.81,5798257.5,-37.699577727877724,
bb_0a916745,28800.0,car,5,f,high,never,false,815560.41,5809683.12,-32.685054083794256,
bb_b71b08e7,28800.0,car,27,f,low,always,true,805899.31,5840391.38,-21.612690814569262,
bb_98a5f09a,28800.0,car,24,f,very_low,always,false,788195.99,5849000.59,-12.013134637107633,
bb_206bbda3,28800.0,car,18,f,high,always,false,796886.28,5852559.27,-14.119950504198464,
bb_4fe8fac3,28800.0,car,33,f,high,always,false,824440.48,5869051.61,-22.620705209055444,
bb_3adf8560,28800.0,car,20,m,low,always,false,771080.32,5833974.38,-17.37172700016232,
bb_5091269d,28800.0,car,85,m,low,always,true,769423.69,5834253.29,-18.880904530062608,
bb_b23c0b83,28800.0,car,43,f,low,always,false,788441.09,5815955.66,-26.089824689454897,
bb_71636abb,28800.0,car,42,m,medium,always,false,809931.37,5802517.31,-22.87368116650992,
bb_38c5de59,28800.0,car,65,m,high,always,true,770443.49,5821688.32,-24.00486391228455,
bb_3442cf63,28800.0,car,75,f,very_low,always,false,807830.59,5843867.83,-22.694036465333667,
bb_97e3aac8,28800.0,car,52,m,very_low,always,false,787754.01,5850475.66,-11.595988742244229,
bb_bc6795be,28800.0,car,57,m,low,always,false,769815.03,5835626.82,-14.661758128833814,
bb_0902a9d7,28800.0,car,50,f,high,always,false,752595.56,5811048.56,-23.063099424823925,
bb_be27e33d,28800.0,car,36,m,medium,always,false,820400.39,5833218.84,-28.762347085745475,
bb_70f80f58,28800.0,car,43,m,very_low,always,true,810149.34,5847036.47,-20.794927727554438,
bb_777661fb,28800.0,car,2,f,high,never,false,772392.8,5806948.26,-27.278166180380765,
bb_47ed6996,28800.0,car,52,m,very_low,always,false,791188.91,5843443.18,-15.176803547143262,
bb_1a7d37b2,28800.0,car,27,m,very_low,always,false,765174.95,5809539.51,-21.518666700960345,
bb_a7bdf4f6,28800.0,car,98,m,medium,always,true,816556.58,5808588.07,-35.62326922854345,
bb_2ab3ea3f,28800.0,car,19,m,low,always,false,765132.73,5812238.54,-29.417440397851795,
bb_c45ade17,28800.0,car,25,m,very_low,always,false,792098.96,5840611.35,-16.303412673743285,
bb_b4e8a94a,28800.0,car,18,f,high,always,false,777236.21,5832224.42,-18.692180603563052,
bb_a51b6e21,28800.0,car,36,f,high,always,true,765100.22,5830762.46,-51.61809123688931,
bb_1cbd3fba,28800.0,car,50,f,medium,always,false,769287.8,5769352.21,-28.809313876496347,
bb_d0bee76a,28800.0,car,55,m,very_low,always,true,788853.88,5843176.41,-14.502641539203228,
bb_be0b8fea,28800.0,car,57,m,medium,always,false,772849.09,5820458.59,-17.66246954277794,
bb_02dd221d,28800.0,car,52,f,very_high,always,false,770501.79,5832733.53,-18.637704912721382,
bb_3216fc5d,28800.0,car,65,m,very_low,always,true,805409.68,5804631.06,-23.289646041257626,
bb_c60bd808,28800.0,car,69,m,very_low,always,false,808297.89,5842724.44,-22.29689170109647,
bb_2faeca91,28800.0,car,38,m,very_low,always,false,827445.19,5831435.42,-23.5246289156928,
bb_10bb6cd9,28800.0,car,60,m,low,always,false,791522.24,5812541.94,-27.951232651340195,
bb_852bc5d7,28800.0,car,58,f,medium,always,false,811362.2,5846343.52,-21.535091722015725,
bb_b85946c9,28800.0,car,17,f,medium,never,false,772980.63,5811874.09,-21.543165550388935,
bb_58cf9c0f,28800.0,car,51,m,high,always,false,779026.93,5821203.57,-18.837816124864297,
bb_3f97401d,28800.0,car,52,f,high,always,false,796035.55,5843640.72,-16.00867501922433,
bb_a49bc8ad,28800.0,car,42,m,medium,always,false,822056.34,5832028.99,-30.175779101830067,
bb_926cbcc6,28800.0,car,47,m,high,always,false,784297.78,5780728.03,-27.88541070387584,
bb_0399932b,28800.0,car,54,f,high,always,false,809759.17,5845899.68,-22.858744900801895,
bb_5b609a5c,28800.0,car,48,f,high,always,false,774889.02,5829050.95,-20.096847178161347,
bb_16f8b3c8,28800.0,car,43,f,high,always,false,775465.92,5814219.49,-29.57122972792967,
bb_dbbc82a9,28800.0,car,54,m,very_high,always,false,825152.5,5829569.83,-22.663686727357195,
bb_1fbbf6da,28800.0,car,62,f,very_low,always,false,777000.32,5832923.99,-18.08853414453815,
bb_c040033f,28800.0,car,6,m,medium,never,false,782014.42,5846675.8,-10.51588213424746,
bb_92039e59,28800.0,car,62,f,very_high,always,false,810166.0,5845462.07,-26.97027806690041,
bb_c5359646,28800.0,car,61,f,low,always,false,812663.84,5846288.67,-23.78979823381413,
bb_bee3894d,28800.0,car,16,m,high,never,false,810072.77,5842977.91,-23.369907076328502,
bb_2fde4188,28800.0,car,79,m,low,always,false,777072.28,5840153.6,-14.211796134660698,
bb_0be5e1ad,28800.0,car,20,f,high,always,false,808189.32,5843845.43,-22.0326708596059,
bb_5bd1a551,28800.0,car,5,m,medium,never,false,775448.48,5815928.97,-27.000834614970685,
bb_95185c4f,28800.0,car,63,f,very_low,always,false,786331.98,5855284.56,-12.332754619900758,
bb_8fff6016,28800.0,car,39,f,high,always,false,801915.69,5802181.83,-34.32278037655018,
bb_25fb3df6,28800.0,car,37,f,high,always,false,791724.51,5855591.66,-12.128660446514688,
bb_78d8b718,28800.0,car,68,f,medium,always,false,740590.36,5808285.6,-31.3357409851173,
bb_52c3f32c,28800.0,car,88,f,low,always,true,791693.22,5860682.37,-21.971113209425454,
bb_b53c20ab,28800.0,car,7,f,medium,never,false,780821.46,5811199.99,-28.38178370080745,
bb_bf4ceeda,28800.0,car,21,m,low,always,false,772616.4,5815886.83,-25.04353788870381,
bb_c8690564,28800.0,car,84,m,low,always,false,818537.59,5823620.96,-40.341618731079365,
bb_a51240b9,28800.0,car,27,f,medium,always,false,778484.1,5812188.86,-28.750367688241358,
bb_4e7c5f23,28800.0,car,14,f,very_high,never,false,812674.84,5810910.53,-33.366781869594945,
bb_c7b6a6d1,28800.0,car,60,f,medium,always,true,811915.49,5846485.78,-23.471005828327222,
bb_3f61ffa5,28800.0,car,62,m,medium,always,false,808799.4,5846128.69,-22.088040735739497,
