personId,time,mode,age,sex,economic_status,carAvail,restricted_mobility,homeX,homeY,accessibility
berlin_bb05ad47,28800.0,teleportedWalk,41,m,very_high,always,false,795541.743066546,5830436.464962513,-8.71,
berlin_980d469a,28800.0,teleportedWalk,33,f,medium,always,false,793764.1309846712,5828413.097063319,-9.893333333333333,
berlin_898a1bf6,28800.0,teleportedWalk,17,m,low,never,false,799975.7344584998,5826580.357451807,-22.740000000000002,
berlin_99c86e62,28800.0,teleportedWalk,61,m,very_low,always,false,794556.0008475331,5831403.07460021,-22.235,
berlin_413cdd47,28800.0,teleportedWalk,42,m,very_high,always,false,797481.448371703,5831835.227277662,-18.633333333333333,
berlin_302e84bf,28800.0,teleportedWalk,41,f,very_low,always,false,794639.2034427156,5831058.306405536,-13.003333333333334,
berlin_471e0d0e,28800.0,teleportedWalk,55,f,low,always,false,795495.165168654,5829512.0267940145,-3.956666666666667,
berlin_e14bd761,28800.0,teleportedWalk,62,f,medium,always,false,793628.1744352421,5828405.923672812,-15.895000000000001,
berlin_ce15b6fd,28800.0,teleportedWalk,30,f,medium,always,false,799875.7020380863,5827916.465238447,-22.486666666666668,
berlin_ae8f246b,28800.0,teleportedWalk,63,f,very_high,always,true,798792.4717304175,5829409.762820059,-25.14,
berlin_05945432,28800.0,teleportedWalk,53,f,medium,always,false,793373.1737300263,5828437.510147796,-11.879999999999999,
berlin_7618b472,28800.0,teleportedWalk,39,f,very_low,always,false,796595.9154324357,5831577.023321699,-15.456666666666667,
berlin_b0fff0fb,28800.0,teleportedWalk,93,m,very_low,always,true,799078.2202509118,5828900.642741276,-26.880000000000003,
berlin_9cd18270,28800.0,teleportedWalk,84,m,high,always,true,797206.9321100784,5831964.365772957,-27.81,
berlin_56a164d1,28800.0,teleportedWalk,61,f,very_high,always,false,794738.1190242692,5828542.968250202,-7.200000000000001,
berlin_05b2ccac,28800.0,teleportedWalk,37,m,medium,always,false,795506.9287230929,5829203.654885421,-2.38,
berlin_8bbcf26a,28800.0,teleportedWalk,35,f,medium,always,false,796812.9120472085,5831956.1801431,-17.693333333333335,
berlin_bc9f7e16,28800.0,teleportedWalk,35,m,high,always,false,799361.5496980867,5827640.638740654,-20.240000000000002,
berlin_383be88c,28800.0,teleportedWalk,52,f,high,always,false,799061.3904778217,5828464.705193394,-17.886666666666667,
berlin_6136297f,28800.0,teleportedWalk,61,f,high,always,false,799407.0773828279,5826853.003929093,-32.98,
