personId,time,mode,age,sex,economic_status,carAvail,restricted_mobility,homeX,homeY,accessibility
berlin_053a08af,28800,teleportedWalk,4,m,medium,never,FALSE,794923.2062684025,5832078.708768469,-17.63
berlin_0547a1f1,28800,teleportedWalk,37,f,very_low,always,FALSE,795709.6755320744,5828261.189014403,-2.64
berlin_055510ac,28800,teleportedWalk,32,f,low,always,FALSE,795548.9371749354,5830310.169737938,-8.053333333
berlin_0569bb8f,28800,teleportedWalk,29,f,high,always,FALSE,799954.6111828391,5826543.954436113,-25.25333333
berlin_056b65a1,28800,teleportedWalk,27,f,high,always,FALSE,798224.9421275109,5830688.530543487,-16.78
berlin_056e3514,28800,teleportedWalk,63,f,low,always,TRUE,795489.9880054806,5831447.812310007,-13.97666667
berlin_05711d22,28800,teleportedWalk,47,m,medium,always,FALSE,794969.4115826946,5829989.960139291,-7.253333333
berlin_057a047f,28800,teleportedWalk,48,m,high,always,FALSE,796993.9577469472,5831272.5291139865,-14.83666667
berlin_0587e453,28800,teleportedWalk,61,m,very_high,always,FALSE,794866.0203759618,5827808.657169176,-6.373333333
berlin_058df6f7,28800,teleportedWalk,38,f,medium,always,FALSE,795632.2948707145,5830621.932235486,-9.66
berlin_05945432,28800,teleportedWalk,53,f,medium,always,FALSE,793373.1737300263,5828437.510147796,-11.88
berlin_05a38050,28800,teleportedWalk,88,m,low,always,FALSE,797104.3349607994,5831538.850498004,-16.32666667
berlin_05aa5681,28800,teleportedWalk,91,m,medium,always,FALSE,799767.9427020053,5826618.507552862,-24.21333333
berlin_05b2ccac,28800,teleportedWalk,37,m,medium,always,FALSE,795506.9287230929,5829203.654885421,-2.38
berlin_05c05ced,28800,teleportedWalk,46,f,very_high,always,FALSE,794731.1468305096,5828907.871974519,-4.756666667
berlin_05fb121d,28800,teleportedWalk,31,f,medium,always,FALSE,797783.5692610401,5832055.516033369,-20.44
berlin_06003a32,28800,teleportedWalk,29,m,high,always,FALSE,794006.1102602761,5831633.059312284,-17.15333333
