"id","xcoord","ycoord","personId","homeX","homeY","mode","age","sex","economic_status","accessibility","teleportedWalk_accessibility","diff","distance_m"
352,793947.408558944,5827645.83349804,"berlin_16fe9c71",793992.559134269,5827612.73680776,"teleportedWalk",29,"m","very_low",-10.42666667,-10.5233333333333,0.1,55.98
390,794147.408558944,5827645.83349804,"berlin_d9b7fdfd",794125.2793,5827654.8929588,"teleportedWalk",18,"m","low",-9.736666667,-9.67333333333333,0.06,23.91
466,794547.408558944,5827645.83349804,"berlin_826f1d4d",794590.728956587,5827638.2512643,"teleportedWalk",60,"f","medium",-7.98,-8.10666666666667,0.13,43.98
504,794747.408558944,5827645.83349804,"berlin_bbf51147",794763.275194565,5827634.59231166,"teleportedWalk",49,"f","high",-7.413333333,-7.42,0.01,19.45
656,795547.408558944,5827645.83349804,"berlin_a9c33945",795516.919949985,5827625.74687448,"teleportedWalk",9,"m","very_high",-5.946666667,-5.83,0.12,36.51
694,795747.408558944,5827645.83349804,"berlin_9bd44316",795762.381421575,5827656.98031646,"teleportedWalk",27,"m","medium",-5.793333333,-5.84,0.05,18.67
1302,798947.408558944,5827645.83349804,"berlin_442ec4f5",798950.221983131,5827660.70917633,"teleportedWalk",65,"m","very_low",-18.17,-18.18,0.01,15.14
1378,799347.408558944,5827645.83349804,"berlin_bc9f7e16",799361.549698087,5827640.63874065,"teleportedWalk",35,"m","high",-20.24,-20.16,0.08,15.07
1454,799747.408558944,5827645.83349804,"berlin_e57c5555",799773.957026967,5827671.15073477,"teleportedWalk",27,"f","high",-22.26,-22.16,0.1,36.68
1492,799947.408558944,5827645.83349804,"berlin_21842177",799922.832325091,5827642.24530391,"teleportedWalk",45,"f","medium",-23.04666667,-23.1666666666667,0.12,24.84
1530,800147.408558944,5827645.83349804,"berlin_3a4b354f",800192.0075,5827558.39826647,"teleportedWalk",46,"f","high",-24.51,-24.1733333333333,0.34,98.15
315,793747.408558944,5827845.83349804,"berlin_41206257",793798.296167638,5827922.18488325,"teleportedWalk",32,"f","very_high",-10.50333333,-10.91,0.41,91.76
