id,xcoord,ycoord,time,teleportedWalk_accessibility
1335,799147.4085589435,5826645.83349804,28800.0,-21.326666666666668
1373,799347.4085589435,5826645.83349804,28800.0,-22.226666666666667
1411,799547.4085589435,5826645.83349804,28800.0,-23.133333333333333
1449,799747.4085589435,5826645.83349804,28800.0,-24.05333333333333
1487,799947.4085589435,5826645.83349804,28800.0,-24.983333333333334
1525,800147.4085589435,5826645.83349804,28800.0,-25.92
1563,800347.4085589435,5826645.83349804,28800.0,-26.866666666666667
6,792147.4085589435,5826845.83349804,28800.0,-20.693333333333335
44,792347.4085589435,5826845.83349804,28800.0,-19.79
82,792547.4085589435,5826845.83349804,28800.0,-18.896666666666665
120,792747.4085589435,5826845.83349804,28800.0,-18.023333333333333
158,792947.4085589435,5826845.83349804,28800.0,-17.166666666666668
196,793147.4085589435,5826845.83349804,28800.0,-16.33
234,793347.4085589435,5826845.83349804,28800.0,-15.52
272,793547.4085589435,5826845.83349804,28800.0,-14.736666666666665
310,793747.4085589435,5826845.83349804,28800.0,-13.989999999999998
348,793947.4085589435,5826845.83349804,28800.0,-13.280000000000001
386,794147.4085589435,5826845.83349804,28800.0,-12.620000000000001
424,794347.4085589435,5826845.83349804,28800.0,-12.009999999999998
462,794547.4085589435,5826845.83349804,28800.0,-11.463333333333333
500,794747.4085589435,5826845.83349804,28800.0,-10.986666666666666
538,794947.4085589435,5826845.83349804,28800.0,-10.593333333333334
576,795147.4085589435,5826845.83349804,28800.0,-10.286666666666667
614,795347.4085589435,5826845.83349804,28800.0,-10.083333333333334
652,795547.4085589435,5826845.83349804,28800.0,-9.983333333333334
690,795747.4085589435,5826845.83349804,28800.0,-9.99
728,795947.4085589435,5826845.83349804,28800.0,-10.103333333333333
766,796147.4085589435,5826845.83349804,28800.0,-10.323333333333334
804,796347.4085589435,5826845.83349804,28800.0,-10.636666666666667
842,796547.4085589435,5826845.83349804,28800.0,-11.043333333333333
880,796747.4085589435,5826845.83349804,28800.0,-11.53
918,796947.4085589435,5826845.83349804,28800.0,-12.083333333333332
956,797147.4085589435,5826845.83349804,28800.0,-12.7
994,797347.4085589435,5826845.83349804,28800.0,-13.370000000000001
1032,797547.4085589435,5826845.83349804,28800.0,-14.083333333333334
1070,797747.4085589435,5826845.83349804,28800.0,-14.836666666666668
1108,797947.4085589435,5826845.83349804,28800.0,-15.623333333333331
1146,798147.4085589435,5826845.83349804,28800.0,-16.436666666666667
1184,798347.4085589435,5826845.83349804,28800.0,-17.273333333333333
1222,798547.4085589435,5826845.83349804,28800.0,-18.133333333333333
1260,798747.4085589435,5826845.83349804,28800.0,-19.01
1298,798947.4085589435,5826845.83349804,28800.0,-19.903333333333332
1336,799147.4085589435,5826845.83349804,28800.0,-20.81
1374,799347.4085589435,5826845.83349804,28800.0,-21.73
1412,799547.4085589435,5826845.83349804,28800.0,-22.656666666666666
1450,799747.4085589435,5826845.83349804,28800.0,-23.596666666666668
1488,799947.4085589435,5826845.83349804,28800.0,-24.543333333333333
1526,800147.4085589435,5826845.83349804,28800.0,-25.496666666666666
1564,800347.4085589435,5826845.83349804,28800.0,-26.456666666666667
7,792147.4085589435,5827045.83349804,28800.0,-20.21333333333333
45,792347.4085589435,5827045.83349804,28800.0,-19.28666666666667
83,792547.4085589435,5827045.83349804,28800.0,-18.369999999999997
121,792747.4085589435,5827045.83349804,28800.0,-17.47
159,792947.4085589435,5827045.83349804,28800.0,-16.583333333333332
197,793147.4085589435,5827045.83349804,28800.0,-15.716666666666667
235,793347.4085589435,5827045.83349804,28800.0,-14.873333333333331
273,793547.4085589435,5827045.83349804,28800.0,-14.056666666666665
311,793747.4085589435,5827045.83349804,28800.0,-13.27
