personId,time,mode,age_base,sex_base,economic_status_base,income_base,restricted_mobility_base,homeX_base,homeY_base,access_base,age_policy,sex_policy,economic_status_policy,income_policy,restricted_mobility_policy,homeX_policy,homeY_policy,access_policy,delta,pct_change
berlin_935f2c4a,28800,car,52,f,medium,2000,TRUE,796304.2676009136,5831838.418549332,-4.357317633657947,52,f,medium,2000,TRUE,796304.2676009136,5831838.418549332,-6.096552796998242,-1.739235163340295,39.91527149422466
berlin_66027e8d,28800,car,82,m,very_low,900,TRUE,805120.0184951641,5827706.586308347,-12.756490354815659,82,m,very_low,900,TRUE,805120.0184951641,5827706.586308347,-20.832287049732187,-8.075796694916528,63.307355473896955
berlin_75c73632,28800,car,55,f,high,4600,FALSE,797912.4822961069,5821730.015309589,-6.029193119858178,55,f,high,4600,FALSE,797912.4822961069,5821730.015309589,-15.979228739146528,-9.95003561928835,165.0309655286411
berlin_86691fb6,28800,car,46,f,medium,3000,FALSE,799759.4183233229,5830513.439939058,-5.071449461042568,46,f,medium,3000,FALSE,799759.4183233229,5830513.439939058,-8.858028480539483,-3.786579019496915,74.66463086311592
bb_48bc2116,28800,car,48,f,medium,2600,FALSE,775652.58,5829830,-14.906618570786026,48,f,medium,2600,FALSE,775652.58,5829830,-20.763833971145285,-5.857215400359259,39.292716671762314
berlin_05da9c70,28800,car,17,m,high,3600,FALSE,803201.6207909011,5826897.176361149,-6.609328831605267,17,m,high,3600,FALSE,803201.6207909011,5826897.176361149,-15.326614822801982,-8.717285991196714,131.8936644445858
bb_f0ff77f5,28800,car,17,f,high,4600,FALSE,801735.77,5803066.68,-16.75577212644801,17,f,high,4600,FALSE,801735.77,5803066.68,-24.260252319522436,-7.504480193074425,44.78743287054518
berlin_d60c1c63,28800,car,86,m,medium,1500,FALSE,806500.1495766789,5825140.135043272,-12.70711074210975,86,m,medium,1500,FALSE,806500.1495766789,5825140.135043272,-21.774004576232436,-9.066893834122686,71.35291427087475
berlin_c317226f,28800,car,33,f,very_low,1500,FALSE,789199.9140535274,5826794.388282485,-7.639565858895975,33,f,very_low,1500,FALSE,789199.9140535274,5826794.388282485,-17.18629013102566,-9.546724272129687,124.96422504183141
berlin_83360204,28800,car,34,f,high,3600,FALSE,794224.0160060911,5824550.3126682965,-4.171812198028343,34,f,high,3600,FALSE,794224.0160060911,5824550.3126682965,-20.08799642974989,-15.916184231721546,381.51727537600465
