personId,time,mode,age,sex,economic_status,carAvail,restricted_mobility,homeX,homeY,accessibility
bb_5ee38a72,28800.0,car,51,f,medium,always,false,740252.35,5808707.86,-24.856392900975063,
bb_42caee2d,28800.0,car,50,m,medium,always,false,777243.96,5814259.72,-46.94045814784155,
bb_38badde1,28800.0,car,42,f,very_high,always,false,781602.17,5844133.96,-9.297315989928281,
bb_1d849a48,28800.0,car,21,m,very_low,always,false,779194.13,5812150.4,-21.004419733317988,
bb_d84fa164,28800.0,car,5,f,high,never,true,817831.33,5880044.54,-24.04944023103656,
bb_c3b0c98f,28800.0,car,30,m,very_low,always,false,799273.24,5807473.38,-55.21360136168101,
bb_88bb536b,28800.0,car,47,f,medium,always,false,808641.39,5841802.71,-19.055425536611818,
bb_8adb732a,28800.0,car,64,f,very_low,always,false,814915.79,5809830.16,-24.731979860715033,
bb_7bd9cb19,28800.0,car,22,f,high,always,false,787133.57,5810939.04,-21.435749108278202,
bb_090e8443,28800.0,car,38,m,medium,always,false,818048.77,5830200.64,-22.94353625434831,
bb_b29f53a7,28800.0,car,30,m,high,always,false,757729.74,5869849.7,-17.815312321599148,
bb_710abd87,28800.0,car,56,f,high,always,false,786787.3,5844772.7,-9.251686753217943,
bb_1886d2fc,28800.0,car,70,f,low,always,false,824260.85,5825283.82,-24.825778002674028,
bb_47f124b7,28800.0,car,10,f,medium,never,false,778671.03,5832564.31,-12.253115382967483,
bb_7de5c9fa,28800.0,car,91,f,medium,always,false,781967.17,5811090.56,-21.449797088429083,
bb_59c5f0e5,28800.0,car,32,m,medium,always,false,751279.61,5813444.52,-22.446661647713608,
bb_c29579b7,28800.0,car,73,m,medium,always,false,829949.96,5837216.11,-24.410979965640394,
bb_8806719b,28800.0,car,33,f,very_low,always,false,769920.32,5826634.92,-41.24324669855097,
bb_73e66a8b,28800.0,car,12,f,very_high,never,false,780975.11,5812670.03,-20.553891895713424,
bb_19cc08af,28800.0,car,34,m,low,always,false,786112.35,5810243.6,-17.31692659873796,
bb_530a6fe9,28800.0,car,65,f,medium,always,false,796745.65,5851514.48,-14.66735013498143,
bb_a618e669,28800.0,car,83,m,high,always,true,773627.66,5811449.37,-19.840415831215434,
bb_aac8f4bf,28800.0,car,10,m,medium,never,false,769713.94,5795707.5,-28.311625063069055,
bb_47cef2e1,28800.0,car,30,f,high,always,false,828611.23,5820090.47,-19.63623751505642,
bb_8c86ab86,28800.0,car,63,f,very_low,always,true,776565.0,5833186.96,-12.458824270255448,
bb_b617f85f,28800.0,car,27,f,medium,always,false,775670.07,5814499.41,-25.381547531028637,
bb_15689fa0,28800.0,car,1,m,low,never,false,784300.82,5839422.01,-8.532626519312359,
bb_272d5275,28800.0,car,47,f,high,always,true,774885.81,5811651.57,-52.745080754332854,
bb_1cbdf50c,28800.0,car,67,m,high,always,false,801718.89,5802951.18,-26.890879687484354,
bb_07b725f0,28800.0,car,5,m,low,never,false,815417.64,5804116.07,-53.9490752540436,
bb_71c0c962,28800.0,car,50,f,medium,always,true,819170.82,5824132.71,-19.761712131336218,
bb_1e9b8236,28800.0,car,17,f,high,never,false,790777.26,5803026.08,-26.38955200886836,
bb_c98c7de2,28800.0,car,62,f,low,always,true,815108.58,5809615.04,-27.98254059351671,
bb_c0833d2e,28800.0,car,58,f,medium,always,false,815419.14,5830657.65,-23.35972661901451,
bb_1d20170b,28800.0,car,39,f,medium,always,false,755171.67,5808048.89,-20.018498035488772,
bb_bf36d323,28800.0,car,42,f,medium,always,false,775119.23,5829202.54,-12.232903498735968,
bb_91040f18,28800.0,car,40,m,high,always,false,792339.69,5840427.52,-10.862989016059405,
bb_b579f18b,28800.0,car,83,f,medium,always,false,817807.87,5828230.41,-24.718300943203104,
bb_806bac83,28800.0,car,8,m,low,never,false,769895.94,5814029.67,-15.856899819505218,
bb_89585d1c,28800.0,car,33,m,very_low,always,false,774699.28,5801210.23,-24.406129420163218,
bb_0ab81cc0,28800.0,car,59,f,low,always,false,819589.54,5814557.43,-23.06714341496344,
bb_d800e943,28800.0,car,38,m,medium,always,false,821032.55,5803772.43,-31.70290289150692,
bb_0ade5994,28800.0,car,43,f,very_low,always,false,790209.96,5844262.86,-10.363066641988897,
bb_9a2c0267,28800.0,car,44,f,low,always,false,775138.64,5813312.69,-21.347598603780845,
bb_0fa56e9f,28800.0,car,7,f,medium,never,false,786398.4,5839513.65,-8.437261288910165,
bb_89bc99d0,28800.0,car,24,m,very_low,always,false,800048.59,5807454.87,-59.906714061706104,
bb_4f9e15b3,28800.0,car,71,m,medium,always,true,769105.24,5825552.15,-17.713576996783694,
bb_8bbea884,28800.0,car,39,f,medium,always,false,804581.61,5800741.61,-29.779218743860213,
bb_6cdfb267,28800.0,car,65,f,very_low,always,false,777406.97,5849228.48,-10.491543716942488,
bb_4db8cdea,28800.0,car,1,f,medium,never,false,814378.11,5802870.24,-29.982966207374155,
bb_068c01bb,28800.0,car,7,m,very_high,never,false,791297.64,5845159.04,-11.163637041057765,
bb_cdbbfb67,28800.0,car,70,m,medium,always,false,791655.06,5813672.76,-20.53013791655685,
bb_973d17f9,28800.0,car,12,m,medium,never,false,788456.5,5852941.37,-11.171947192718015,
bb_8a014e87,28800.0,car,70,m,medium,always,false,788341.24,5812927.93,-25.784107791257533,
bb_6362fa9c,28800.0,car,65,m,very_low,always,false,824940.17,5826648.41,-19.31274814077368,
bb_463d26f5,28800.0,car,45,m,very_high,always,false,788149.54,5849194.88,-9.64689352351623,
bb_37a9aa50,28800.0,car,49,m,medium,always,false,777366.37,5811770.21,-21.300510957749545,
bb_030ee344,28800.0,car,54,f,high,always,false,769355.22,5849414.75,-12.015231543637,
bb_01131cc6,28800.0,car,34,f,high,always,false,778877.36,5831125.81,-12.575768669774334,
bb_92d8ef55,28800.0,car,5,m,medium,never,false,809786.53,5844950.73,-18.386905630274107,
bb_bf86234f,28800.0,car,45,m,low,always,false,785273.83,5853113.14,-12.212844979876218,
bb_8f318b03,28800.0,car,33,m,medium,always,false,839120.84,5842984.2,-21.046651873783272,
bb_9af07faa,28800.0,car,91,m,medium,always,false,822804.69,5822927.54,-22.23996168345288,
bb_4beb0bf1,28800.0,car,5,m,very_low,never,false,779418.95,5835749.29,-10.497617346992378,
bb_a582dbcc,28800.0,car,21,m,very_high,always,false,771769.32,5815592.97,-20.87716988457792,
