personId,time,mode,age,sex,economic_status,carAvail,restricted_mobility,homeX,homeY,accessibility
bb_11fbcfb5,28800.0,car,70,f,medium,always,true,789551.81,5803870.41,-30.475556413256008,
bb_116ce986,28800.0,car,58,m,low,always,false,768103.24,5828836.8,-15.192267732896976,
bb_1649798c,28800.0,car,60,f,medium,always,false,819274.59,5746362.21,-51.12308647029856,
bb_062a6d33,28800.0,car,33,m,very_low,always,false,818967.03,5830095.79,-39.68350908004868,
bb_10aeb871,28800.0,car,12,m,very_low,never,false,816937.47,5796638.77,-45.68739518680227,
bb_103396fe,28800.0,car,16,m,high,never,false,790912.86,5797246.63,-29.451311394336553,
bb_0c3c153d,28800.0,car,38,f,very_high,always,false,800195.62,5809006.98,-34.87372753241914,
bb_154f25d5,28800.0,car,51,f,medium,always,false,818532.56,5830374.46,-36.88053344510594,
bb_0d83dcac,28800.0,car,21,f,medium,always,false,824055.73,5864675.76,-66.84711404787275,
bb_13c9298c,28800.0,car,23,m,medium,always,false,773272.07,5812438.59,-22.133882895966494,
bb_04ce00e1,28800.0,car,50,f,very_high,always,false,808530.83,5845469.61,-14.99020859702891,
bb_05e161d7,28800.0,car,19,f,very_high,always,false,786104.87,5815144.45,-24.0277381654231,
bb_08071708,28800.0,car,49,m,high,always,false,809288.2,5808239.03,-33.41372853960146,
bb_0660f3cf,28800.0,car,8,f,medium,never,false,799485.41,5807777.21,-26.449864414943413,
bb_066d276c,28800.0,car,69,m,low,always,false,791635.78,5813235.36,-27.719834271327812,
bb_0d514d08,28800.0,car,19,f,high,always,false,791752.29,5812525.97,-65.9783458568178,
bb_1474b01e,28800.0,car,52,m,high,always,false,787093.99,5814744.78,-24.551970892678,
bb_11865672,28800.0,car,36,f,high,always,false,802106.09,5814411.6,-36.08220487522492,
bb_026da54b,28800.0,car,66,f,high,always,false,773084.65,5799054.1,-102.83905939232427,
bb_1055ad03,28800.0,car,37,f,high,always,true,823667.03,5821132.49,-37.8885628788706,
bb_0de9c254,28800.0,car,6,f,very_high,never,false,819437.23,5829851.79,-41.01581858256472,
bb_07eea25c,28800.0,car,85,f,medium,always,true,807014.55,5845167.49,-32.694851144412375,
bb_1518ef47,28800.0,car,52,f,very_high,always,true,789736.09,5846210.31,-19.24109764292023,
bb_056633b9,28800.0,car,82,f,medium,always,false,769162.5,5819970.48,-17.604312595664744,
bb_0f7dc4ed,28800.0,car,18,m,medium,always,false,779567.44,5807320.96,-24.246946806975945,
bb_12be6865,28800.0,car,29,m,very_low,always,false,822045.45,5823120.79,-95.37078276731597,
bb_0a68c160,28800.0,car,39,m,low,always,false,771888.13,5815878.46,-23.483289814130554,
bb_01f055dd,28800.0,car,12,m,high,never,false,779385.5,5849347.14,-21.265008455410552,
bb_12c5c879,28800.0,car,25,m,very_low,always,false,810882.5,5845698.89,-36.13506353023795,
bb_0af310b2,28800.0,car,66,f,very_low,always,false,821799.53,5804060.22,-43.45133859291837,
bb_05e3a28a,28800.0,car,27,f,very_low,always,false,817117.58,5840613.13,-33.057384412703655,
bb_15921227,28800.0,car,52,m,very_low,always,false,801609.89,5802543.19,-37.16130698716475,
bb_1345c167,28800.0,car,58,f,high,always,false,823693.26,5815828.91,-25.918799997281358,
bb_0000e3ac,28800.0,car,47,f,high,always,false,784261.25,5840162.1,-19.747538477827597,
bb_10f03a5e,28800.0,car,51,f,high,always,false,777663.05,5812606.49,-23.586512084043093,
bb_0d744046,28800.0,car,37,m,high,always,false,778698.81,5812181.45,-23.720900683763766,
bb_0be25712,28800.0,car,6,f,high,never,false,771371.08,5813381.77,-30.229479383731213,
bb_135ee89b,28800.0,car,25,f,high,always,false,815324.33,5801217.63,-41.8603390424858,
bb_07af4e67,28800.0,car,85,f,medium,always,false,770615.54,5814550.95,-23.3760751462804,
bb_0b4ae40f,28800.0,car,63,f,medium,always,false,778144.71,5809573.96,-30.721998860778992,
bb_102a3ea1,28800.0,car,52,m,very_low,always,false,783606.64,5848227.21,-18.891758050266,
bb_12854382,28800.0,car,50,f,low,always,false,815345.19,5808732.09,-29.671909419723804,
bb_076abb87,28800.0,car,1,f,high,never,false,786910.94,5811017.37,-26.944765707217602,
bb_05ecaaf2,28800.0,car,36,f,high,always,false,780044.33,5768169.44,-37.997095035744195,
