person,timeCar,distCar,expSum
berlin_3b7a4850,3201.465000,41049.520000,3.78275721095382e-13
berlin_6079f490,3201.465000,41049.520000,4.23000741692381e-13
berlin_729856f0,3201.465000,41049.520000,2.82108864309839e-09
berlin_82364089,3201.465000,41049.520000,7.05015596388797e-10
berlin_885dcae7,3201.465000,41049.520000,1.52077471481236e-11
berlin_8c6c12f0,3201.465000,41049.520000,1.60145708945065e-17
berlin_8ee60bce,3201.465000,41049.520000,3.70902096754833e-13
berlin_b835a59f,3201.465000,41049.520000,3.31695628936024e-13
berlin_e4a53144,3201.465000,41049.520000,2.88910473009395e-09
berlin_13b76b6e,3922.732000,57690.590000,2.18716083863441e-11
bb_42ab6ed5,2018.476000,27120.600000,2.88803421242841e-07
berlin_1c0d78cc,3922.732000,57690.590000,1.68497318195188e-35
berlin_333147c7,4426.392000,67108.330000,4.09819127260375e-19
berlin_e91c17f9,4426.392000,67108.330000,2.03274482464258e-16
berlin_fbc29c07,4426.392000,67108.330000,3.75937649118464e-19
berlin_d13b2fc9,2555.102000,37299.250000,5.55295531095619e-09
berlin_d4367641,2555.102000,37299.250000,4.06680739426279e-07
berlin_f87aed5f,2555.102000,37299.250000,1.60605673677531e-08
berlin_160f9fce,4636.623000,61656.900000,9.35403545037277e-13
berlin_5d59f5b5,4636.623000,61656.900000,1.06979413527375e-12
bb_37da68ff,3447.674000,74059.400000,9.13032576072283e-27
bb_c24aba62,3447.674000,74059.400000,5.09964042544499e-10
berlin_7c240a56,2707.298000,37773.950000,2.64080345761023e-08
berlin_7d57008f,2707.298000,37773.950000,6.38980545168952e-16
berlin_85c137b1,3262.087000,41841.340000,8.26760461335226e-27
berlin_8607cf77,3262.087000,41841.340000,2.28996783685932e-09
berlin_a2f63800,3262.087000,41841.340000,2.68016898100454e-13
berlin_cdce7293,3262.087000,41841.340000,1.27163570809550e-11
berlin_34ab554e,3835.250000,62317.550000,1.56783024974338e-17
berlin_93a1a072,3462.685000,44108.130000,1.04117933934583e-18
berlin_a6ef73e1,3462.685000,44108.130000,5.65052850987188e-11
bb_a5545d7d,4290.187000,65904.170000,1.68746165686973e-12
bb_4b6b1edd,4366.454000,106440.960000,9.61444866805649e-17
bb_8361e6f0,4366.454000,106440.960000,9.48524722864349e-13
berlin_29e9b94b,2748.001000,51020.350000,5.19871849784150e-08
bb_fe2c2ebf,2628.084000,41243.430000,2.11870492874747e-12
bb_8894d250,3512.655000,53009.570000,2.20728006350873e-11
bb_d59152b9,3193.757000,42093.650000,6.74872817683826e-10
bb_4395b4f0,4777.321000,67412.040000,3.55340474233378e-14
bb_49fb3c0e,4876.736000,84843.480000,2.71964908017739e-23
berlin_4e10405d,4798.342000,52757.480000,4.88419880573773e-13
berlin_149f39f3,3246.601000,42255.160000,9.87993296182998e-09
berlin_7ded3c07,4798.342000,52757.480000,1.16405894594614e-13
berlin_3112b108,3246.601000,42255.160000,2.00692371747096e-13
berlin_5df71e7e,3246.601000,42255.160000,2.41130098444474e-13
berlin_6960905b,3246.601000,42255.160000,2.09222155535949e-13
berlin_97ad1c60,4798.342000,52757.480000,2.85214201606300e-17
berlin_92ec50dc,3246.601000,42255.160000,1.94949657158662e-13
berlin_96089b35,3246.601000,42255.160000,1.86085952884698e-08
berlin_f0f95886,3246.601000,42255.160000,5.73430286894346e-10
berlin_b08b20fd,4349.720000,49421.410000,1.83836488693700e-11
berlin_f4a4aad2,3246.601000,42255.160000,5.49304827283760e-18
berlin_c0a96e65,4349.720000,49421.410000,1.97724649835681e-21
berlin_e02f4851,4349.720000,49421.410000,1.95606636690098e-11
berlin_fffb635a,4349.720000,49421.410000,1.00307219773315e-10
bb_8c2d872f,2315.234000,32262.810000,7.48744885175982e-21
bb_f243e376,2314.349000,41184.430000,3.72663533558267e-25
berlin_53c1b795,4047.442000,48725.470000,7.86229689721879e-10
berlin_786bc4f3,4047.442000,48725.470000,3.25989260369683e-12
berlin_fd308fc8,4047.442000,48725.470000,1.30898797585064e-11
berlin_2c35d919,2692.312000,51242.120000,5.65313068772192e-08
berlin_886d29ef,2692.312000,51242.120000,3.57416918155899e-09
berlin_5f935487,3402.754000,53345.080000,3.27173696362820e-13
berlin_7dba9a18,3402.754000,53345.080000,4.71734696456917e-09
berlin_8261adb9,3402.754000,53345.080000,2.01746611369365e-15
berlin_b0ce42d0,3402.754000,53345.080000,3.59726576895989e-21
berlin_c293db51,3402.754000,53345.080000,4.03660629244062e-09
berlin_e6995b2a,3402.754000,53345.080000,4.36598159788794e-11
berlin_08708b78,3568.968000,45213.780000,2.16324185599307e-09
berlin_145a08eb,2653.003000,37547.780000,3.50485567158167e-08
berlin_8ea9031a,2079.636000,32642.530000,1.32241783768170e-06
bb_bdb1866e,4276.259000,97101.090000,3.24703397937672e-12
berlin_3dd3bd5d,4209.065000,63324.230000,1.23086113497294e-10
bb_a061effe,4171.047000,81599.360000,6.52482624453147e-15
bb_a9b513a4,4171.047000,81599.360000,1.36324340256201e-12
berlin_94d3a6b3,3491.919000,44410.930000,7.68723347585955e-19
berlin_80ddc170,3978.565000,50831.060000,9.18753127995613e-16
berlin_b1eca7a4,3978.565000,50831.060000,8.01427827704142e-14
berlin_495a7ede,3845.163000,57350.150000,2.38289272025947e-14
berlin_4e0898a6,3845.163000,57350.150000,2.87197182954275e-11
berlin_5561c400,3845.163000,57350.150000,4.43660750790945e-12
berlin_234cf3d1,3620.289000,54149.040000,2.01577281219635e-09
berlin_4b22fb40,3620.289000,54149.040000,4.42362062933159e-10
berlin_74c9f0fd,3620.289000,54149.040000,1.87778992012755e-09
