person,timeCar_base,distCar_base,expSum_base,timeCar_policy,distCar_policy,expSum_policy,delta_timeCar,delta_pct_timeCar,delta_distCar,delta_pct_distCar,delta_expSum,delta_pct_expSum
berlin_c961c6ee,379.518,2542.86,0.0709223431547063,175.151,1273.39,0.0140794461087902,-204.36699999999996,-53.84909279665259,-1269.47,-49.922921434919736,-0.0568428970459161,-80.14808101012957
bb_3b3f6821,1959.214,18691.91,4.29557513843225e-9,3064.492,30142.32,7.685313411823e-15,1105.2780000000002,56.41435800275009,11450.41,61.25864077025837,-4.2955674531188385e-9,-99.99982108767362
berlin_d1899b86,1566.707,11891.6,2.150880013516e-4,3260.531,30261.69,2.1483368209366703e-9,1693.8239999999998,108.11364218070129,18370.089999999997,154.47954858891987,-2.1508585301477907e-4,-99.9990011823963
bb_aa339869,1959.214,18691.91,8.63631679306839e-5,3064.492,30142.32,5.97007068083849e-8,1105.2780000000002,56.41435800275009,11450.41,61.25864077025837,-8.630346722387552e-5,-99.93087249085593
berlin_171b0956,868.551,6925.41,6.18468900560184e-6,654.985,5655.94,4.47192719210371e-6,-213.56600000000003,-24.588769110852443,-1269.4700000000003,-18.330611472822554,-1.7127618134981301e-6,-27.69358025838939
berlin_34cf3ede,868.551,6925.41,0.00210864998795596,654.985,5655.94,5.2714473439713e-4,-213.56600000000003,-24.588769110852443,-1269.4700000000003,-18.330611472822554,-0.0015815052535588297,-75.00084236795871
berlin_778f29b5,868.551,6925.41,0.00252168584896902,654.985,5655.94,6.3002175950455e-4,-213.56600000000003,-24.588769110852443,-1269.4700000000003,-18.330611472822554,-0.00189166408946447,-75.01585061588335
berlin_9e6b3c2e,868.551,6925.41,0.00830282660159924,654.985,5655.94,0.00169938476490546,-213.56600000000003,-24.588769110852443,-1269.4700000000003,-18.330611472822554,-0.00660344183669378,-79.53245507285271
berlin_eeb4fd8c,868.551,6925.41,0.00150173977572361,654.985,5655.94,3.751779065645e-4,-213.56600000000003,-24.588769110852443,-1269.4700000000003,-18.330611472822554,-0.00112656186915911,-75.01711597245793
bb_27967947,3361.777,41401.18,3.02143466093884e-8,4006.373,55761.07,5.31910906307765e-11,644.596,19.17426408711821,14359.89,34.68473603892449,-3.016115551875762e-8,-99.82395419196573
bb_f3c62c5d,4779.267,74048.58,1.97637293606927e-11,4699.711,73217.11,2.4104605867818398e-12,-79.55599999999959,-1.6646067273496037,-831.4700000000012,-1.1228709584977876,-1.735326877391086e-11,-87.80361467823016
berlin_333147c7,2533.352,19626.14,4.82871893613988e-8,3065.155,22573.83,2.36023642101531e-10,531.8030000000003,20.99206900580734,2947.6900000000023,15.019203979998117,-4.805116571929727e-8,-99.51120857266086
berlin_e91c17f9,2533.352,19626.14,2.89751548092023e-7,3065.155,22573.83,1.86283742753944e-9,531.8030000000003,20.99206900580734,2947.6900000000023,15.019203979998117,-2.878887106644836e-7,-99.35709146687707
berlin_fbc29c07,2533.352,19626.14,4.42950834735661e-8,3065.155,22573.83,2.16510570751504e-10,531.8030000000003,20.99206900580734,2947.6900000000023,15.019203979998117,-4.4078572902814596e-8,-99.51120857266086
berlin_13b76b6e,1726.67,15920.23,9.81065095539389e-5,2415.832,19036.14,5.24216276138526e-7,689.1619999999998,39.91278009115811,3115.91,19.572016233433814,-9.758229327780038e-5,-99.46566616372147
berlin_1c0d78cc,1726.67,15920.23,2.2272145842157498e-11,2415.832,19036.14,5.9202951114595304e-15,689.1619999999998,39.91278009115811,3115.91,19.572016233433814,-2.226622554704604e-11,-99.97341838925888
berlin_382a43e0,1885.009,14974.71,6.34947162984516e-5,3440.454,31745.82,2.27726914724439e-9,1555.4450000000002,82.51658214894466,16771.11,111.99622563642302,-6.349243902930435e-5,-99.9964134509452
berlin_1a2d3281,1343.982,10901.93,2.070396259924e-8,3338.116,31468.13,2.5058643046206e-22,1994.134,148.37505264207408,20566.2,188.64733125235622,-2.0703962599239748e-8,-99.99999999999878
