person,age,sex,income_bin,homeX,homeY,district_ord,base_timeCar,base_distCar,base_car_acc,policy_timeCar,policy_distCar,policy_car_acc,delta_timeCar,delta_pct_timeCar,delta_distCar,delta_pct_distCar,delta_car_acc,delta_pct_car_acc
berlin_53ea7b76,25,f,1500,784110.0900110633,5822894.99106445,Spandau,1990.86,17373.11,-14.677505138913604,2822.798,25844.97,-23.053421913107883,831.9379999999999,41.78787056849803,8471.86,48.764210898336565,-8.375916774194279,-57.0663521826179
berlin_86c6069a,88,m,2600,783975.2895748474,5822795.005819897,Spandau,1990.86,17373.11,-11.68562980027078,2822.798,25844.97,-18.728539685248514,831.9379999999999,41.78787056849803,8471.86,48.764210898336565,-7.042909884977734,-60.26983573289764
berlin_a97b5fa2,57,f,900,784016.0088486696,5822677.131928426,Spandau,1990.86,17373.11,-19.111352751275632,2822.798,25844.97,-29.587765229689925,831.9379999999999,41.78787056849803,8471.86,48.764210898336565,-10.476412478414293,-54.81774427357069
berlin_af21fa1f,49,f,4600,784034.7590483051,5822779.492162078,Spandau,1990.86,17373.11,-10.302367195794258,2822.798,25844.97,-16.554956790722652,831.9379999999999,41.78787056849803,8471.86,48.764210898336565,-6.252589594928395,-60.69080509458927
bb_5b452d17,43,f,3000,788749.99,5847803,NA,2312.036,30913.81,-14.423654399645969,2530.496,27415.4,-16.953359466157796,218.46000000000004,9.448814810842046,-3498.41,-11.316657506790653,-2.529705066511827,-17.538586244647675
bb_f2dcf39d,6,m,2000,780130.91,5812429.18,NA,2720.976,26710.25,-17.567262824242967,3421.978,35618.46,-24.840751572040194,701.002,25.76288802253309,8908.21,33.35127900337885,-7.273488747797227,-41.40365417519543
berlin_ff6c5335,94,m,1500,783693.852655978,5831339.870291052,Spandau,1797.854,16720.83,-13.270307410733222,2486.797,19836.74,-19.177634712828556,688.943,38.3202974212589,3115.91,18.634900301001803,-5.907327302095334,-44.515376466090004
berlin_171ec8c2,23,f,3600,791694.4199491008,5827009.501792168,Charlottenburg-Wilmersdorf,776.659,5774.06,-4.496413324531415,2333.19,14214.9,-15.705013240327155,1556.531,200.41369507080972,8440.84,146.1855263021167,-11.208599915795741,-249.2786829592412
berlin_2a8c1660,48,f,1500,806695.4181603002,5824481.611152499,Lichtenberg,1942.316,14820.83,-12.956587702456524,3276.878,22031.46,-22.538857615935843,1334.5620000000001,68.7098288846923,7210.629999999999,48.65199857227968,-9.582269913479319,-73.95674025856788
berlin_4a7170b0,29,f,2000,796475.7208273815,5816129.440159934,Tempelhof-Schöneberg,1946.094,14394.89,-11.892287681441914,3304.353,29358.33,-23.045619655934807,1358.259,69.79411066474692,14963.440000000002,103.94966547156666,-11.153331974492893,-93.78626109001576
berlin_6f65b268,41,f,4600,796640.9170593487,5816184.418319523,Tempelhof-Schöneberg,1946.094,14394.89,-9.324864172092088,3304.353,29358.33,-18.119116994287666,1358.259,69.79411066474692,14963.440000000002,103.94966547156666,-8.794252822195578,-94.30971497167165
berlin_78ae6c72,36,f,2600,796673.5970142423,5816149.453365902,Tempelhof-Schöneberg,1946.094,14394.89,-10.737606692360623,3304.353,29358.33,-20.927764338400763,1358.259,69.79411066474692,14963.440000000002,103.94966547156666,-10.19015764604014,-94.90157292956192
berlin_cb14b407,68,m,1500,796646.4633865895,5816210.70273173,Tempelhof-Schöneberg,1946.094,14394.89,-12.993646633870242,3304.353,29358.33,-25.53823041612822,1358.259,69.79411066474692,14963.440000000002,103.94966547156666,-12.544583782257977,-96.54398134514678
bb_eab3a403,47,m,2600,785249.88,5800043.19,NA,3080.484,40033.04,-19.828191057403288,3432.019,48066.18,-25.175625100885878,351.53499999999985,11.411680761854301,8033.139999999999,20.066275256638015,-5.34743404348259,-26.968844651544796
berlin_12573e1a,36,f,4600,811387.8559913558,5828613.341369238,Marzahn-Hellersdorf,2522.835,20203.78,-11.853578728328857,3125.368,23685.75,-16.736341053911246,602.5329999999999,23.883171115035264,3481.970000000001,17.234250224462954,-4.882762325582389,-41.19230518892223
berlin_8220133f,15,m,2000,811460.7438474266,5828535.265036227,Marzahn-Hellersdorf,2522.835,20203.78,-15.228702118780577,3125.368,23685.75,-20.66041861772983,602.5329999999999,23.883171115035264,3481.970000000001,17.234250224462954,-5.431716498949255,-35.66762588553537
berlin_785a2f4b,25,f,2000,798345.366027718,5819774.309130898,Tempelhof-Schöneberg,1500.789,11202.99,-9.085017998968219,3040.825,28369.21,-21.45869518915065,1540.0359999999998,102.61509112873294,17166.22,153.2289147807862,-12.37367719018243,-136.1987085946082
berlin_912c15d2,21,f,2000,798400.2280452186,5819798.422681427,Tempelhof-Schöneberg,1500.789,11202.99,-9.120754885032904,3040.825,28369.21,-21.494432075215318,1540.0359999999998,102.61509112873294,17166.22,153.2289147807862,-12.373677190182415,-135.66505564673744
berlin_2c435e74,97,m,1500,795839.4522375427,5832790.470312583,Reinickendorf,671.082,5072.9,-5.320699451188145,592.879,4094.62,-7.148240211266348,-78.20299999999997,-11.653270390205664,-978.2799999999997,-19.284432967336233,-1.827540760078203,-34.34775402828103
berlin_3e2f68f9,4,m,3600,795921.3524583982,5832703.368580219,Reinickendorf,671.082,5072.9,-4.024345076276988,592.879,4094.62,-6.064119492285972,-78.20299999999997,-11.653270390205664,-978.2799999999997,-19.284432967336233,-2.039774416008984,-50.685872541924894
berlin_6a79fee5,78,m,900,795916.5004571369,5832706.147920841,Reinickendorf,671.082,5072.9,-6.367058149953547,592.879,4094.62,-7.9520461603965815,-78.20299999999997,-11.653270390205664,-978.2799999999997,-19.284432967336233,-1.584988010443035,-24.893568946823564
