person,timeCar,distCar,expSum
berlin_78d8836a,4470.700000,55146.060000,3.47931988369654e-11
berlin_d973f348,4470.700000,55146.060000,3.08716362161604e-17
berlin_d8b19226,2632.610000,38254.490000,3.33292152654276e-09
berlin_a3e00b51,5732.917000,57608.860000,1.09850060528972e-25
berlin_31da7e9a,2473.400000,36206.970000,5.39282379302858e-23
berlin_7fdf24b8,4509.239000,61352.120000,2.69548182910599e-18
bb_5bfda497,1642.204000,23398.460000,9.20102392892522e-11
berlin_03366061,3129.127000,40402.450000,4.25247277582447e-10
bb_3e5d41dc,5062.974000,68156.280000,2.04650900861226e-17
bb_764ae8e0,5062.974000,68156.280000,1.01276484382715e-12
bb_79ab39b1,5062.974000,68156.280000,2.03917241671571e-17
bb_8eaf26e0,2455.788000,45487.980000,1.25033364668081e-17
bb_bce5e911,2455.788000,45487.980000,2.38709971474314e-07
berlin_6dbd18a3,2862.107000,40917.060000,8.97675986850279e-08
berlin_f94955eb,2862.107000,40917.060000,6.31423392521937e-11
berlin_ad8ac3ca,2411.119000,33973.410000,4.35532656949941e-08
berlin_ed9af41d,4679.109000,66205.490000,4.06109353494498e-12
berlin_edd85f2a,4679.109000,66205.490000,4.85844698178266e-14
berlin_b66afbc1,4545.343000,58327.760000,3.21418249277956e-11
berlin_e3d66e7d,5601.298000,67092.160000,4.48960835065925e-18
berlin_ee64942d,5601.298000,67092.160000,3.70493236672199e-18
berlin_2a6a120c,2222.737000,34572.630000,2.14658681435739e-08
berlin_861620f5,1920.337000,31159.490000,1.09382212647199e-09
berlin_b3b60f33,1920.337000,31159.490000,3.53817600362029e-07
berlin_f0818f49,1920.337000,31159.490000,1.10582596233603e-09
berlin_fb9efb68,1920.337000,31159.490000,3.99507066634376e-07
berlin_99b99e2b,4487.486000,61789.490000,4.53630927587115e-11
berlin_b2d9d7cf,4487.486000,61789.490000,2.77254145885279e-18
bb_b23bcb57,4876.179000,109305.130000,3.42002647725310e-22
berlin_f3ae993d,4487.486000,61789.490000,5.39816148341980e-11
berlin_fac136f7,4487.486000,61789.490000,2.47649437543670e-38
berlin_7a2af29e,4787.093000,68891.210000,3.89619080363272e-17
berlin_a460883f,4787.093000,68891.210000,4.00682167368886e-42
berlin_adb0369c,4787.093000,68891.210000,7.16937648811760e-20
berlin_c7078da9,4787.093000,68891.210000,2.78003208850948e-27
berlin_28be96e4,4785.792000,69609.340000,3.17996909926131e-15
berlin_49c24860,4785.792000,69609.340000,3.34653786336563e-15
berlin_524c38e7,4785.792000,69609.340000,3.78379379443631e-17
berlin_4d131841,2056.416000,32576.500000,4.49187824365396e-07
berlin_5c4fbc27,3714.393000,48532.500000,4.12486337231741e-11
berlin_e421247c,3714.393000,48532.500000,1.67446442891804e-10
bb_0f5505ff,4322.465000,55643.260000,7.74157734012854e-15
berlin_001ebd38,4176.852000,52894.260000,1.24795074171926e-10
berlin_1c1a8d56,4176.852000,52894.260000,2.19453128087537e-14
berlin_276fa037,4176.852000,52894.260000,1.95709457144941e-10
berlin_385467ca,4176.852000,52894.260000,1.59601703802345e-11
berlin_428e9e89,4176.852000,52894.260000,1.88219353274377e-11
berlin_8bcdf02c,4176.852000,52894.260000,1.64438603086109e-11
berlin_90be9a3a,4176.852000,52894.260000,3.64427077203452e-10
berlin_a2bfe4e2,4176.852000,52894.260000,4.23964476406717e-22
berlin_b32db958,4176.852000,52894.260000,1.94711752583145e-16
berlin_f94ef8be,4176.852000,52894.260000,8.11040167118439e-11
berlin_fa99246a,4518.726000,58188.750000,8.17788731684896e-18
bb_8fca6aa5,3021.528000,38749.370000,7.47598681034814e-11
bb_05f2c840,2276.191000,45756.640000,1.06536460660406e-10
bb_78c16f00,2276.191000,45756.640000,1.92456577484695e-17
berlin_e9cb76bb,2276.191000,45756.640000,1.95376065837520e-09
berlin_524a1340,4718.272000,68074.220000,5.20405058762400e-15
berlin_540a3cdb,4718.272000,68074.220000,1.31229565424841e-11
berlin_af7d32e7,4718.272000,68074.220000,5.67128873196530e-15
bb_bc635e91,2257.275000,44365.940000,2.92507649738535e-12
bb_cd934f15,2257.275000,44365.940000,1.64592115604699e-07
bb_a90254c5,5272.265000,66699.690000,8.11692796127719e-15
bb_1d607c19,4221.203000,53469.170000,2.04986027011272e-14
berlin_5c5e223f,2317.824000,34202.570000,5.35516357930642e-07
berlin_657a7a00,2317.824000,34202.570000,8.99347780561899e-22
berlin_75083bbc,2317.824000,34202.570000,1.00767185484510e-06
berlin_e76b1ddd,2317.824000,34202.570000,1.73054238451174e-07
berlin_95606695,4442.521000,54808.900000,1.04024027774585e-12
berlin_9c8a6dfb,4442.521000,54808.900000,6.57481175165190e-35
berlin_e5319fba,4642.071000,65740.050000,4.71715982518520e-12
berlin_1f434b25,5594.366000,62773.010000,1.63038266806268e-17
berlin_34a6abe1,5594.366000,62773.010000,5.40994509379806e-15
berlin_dc6296c1,2780.505000,36477.670000,2.68033403663903e-08
berlin_8fb9f6d1,5704.351000,57601.520000,1.29992389427576e-25
bb_e535496d,5605.978000,81326.530000,4.13321537322439e-23
bb_409e73db,1770.361000,31517.930000,5.10534066338995e-06
berlin_7808fdff,2674.678000,39679.760000,8.98913398499639e-08
berlin_b4d37c8c,4492.437000,61228.240000,2.66105995194389e-13
berlin_1e81f8ba,2816.452000,37532.450000,7.01259293504373e-08
berlin_81dab0ac,2816.452000,37532.450000,1.36112978729532e-07
berlin_39fca696,3084.825000,39974.260000,1.64583891111514e-09
berlin_dda99781,3084.825000,39974.260000,3.74479578237716e-11
berlin_2dcc4d59,4881.222000,60544.200000,9.13374022775228e-14
berlin_176325e7,4495.358000,52393.800000,9.94688412441675e-11
berlin_36d84d13,4495.358000,52393.800000,1.01148688950731e-14
berlin_b6d3c5b1,4495.358000,52393.800000,4.05462927224009e-11
berlin_b7c58e5d,4495.358000,52393.800000,1.22621315310458e-10
berlin_ba29cc52,4495.358000,52393.800000,1.16100876570749e-14
berlin_ccb340e7,4495.358000,52393.800000,1.33047347402683e-10
berlin_4d1dac1a,2288.685000,35541.830000,7.40850793071010e-11
berlin_0816c37b,4694.942000,68895.090000,2.91517492794852e-27
berlin_233345fa,4694.942000,68895.090000,5.58791019306890e-17
berlin_8412a89f,4694.942000,68895.090000,9.03986528410346e-12
berlin_8dadee24,4694.942000,68895.090000,2.46019571465215e-14
berlin_f3bee527,4694.942000,68895.090000,2.55462456232374e-13
berlin_7d209c6f,5875.318000,69108.980000,1.01344436703934e-18
berlin_f9c544fb,4689.192000,65341.980000,3.48437479711309e-19
berlin_6b141879,4346.155000,62355.850000,3.63780849821022e-18
bb_b0e5ae73,5604.608000,80358.750000,1.23166484783959e-31
berlin_37003256,3425.685000,53690.250000,1.89865055728332e-15
berlin_91b766df,3425.685000,53690.250000,1.99375834220679e-15
berlin_c7620b38,3425.685000,53690.250000,1.34703553909475e-09
berlin_cc5c4a43,3425.685000,53690.250000,4.14501537115527e-11
berlin_4ae7f4ff,4480.573000,61021.490000,9.82740249749850e-16
berlin_5c425f88,4480.573000,61021.490000,1.35898237216664e-11
bb_a1680d51,1731.673000,25300.590000,4.77563179084033e-06
bb_e72cea5d,2812.129000,49107.730000,4.17651124174991e-19
