personId,time,mode,age,sex,economic_status,income,restricted_mobility,homeX,homeY,accessibility
berlin_3b0e5188,28800.0,car,7,m,low,2600.0,false,799523.4939409078,5831982.412348986,-5.703741950677578,
berlin_f32d6521,28800.0,car,68,m,high,4600.0,false,796341.9929299459,5819460.871657705,-7.656999644517476,
berlin_e197a019,28800.0,car,2,m,very_low,900.0,false,802747.9018174566,5827803.029855054,-10.361457813120934,
berlin_937311c2,28800.0,car,29,f,medium,1500.0,false,800792.2398891116,5837561.378698339,-11.039064724799616,
berlin_eb098b99,28800.0,car,87,m,medium,2000.0,true,810806.2217275468,5828681.462702416,-15.315227372713473,
berlin_48d9d5e1,28800.0,car,46,f,high,4600.0,false,801828.5515539113,5822855.151243027,-6.73746055996168,
berlin_d142798b,28800.0,car,71,m,very_high,4600.0,false,802474.4800525905,5817432.259922038,-10.26618895535717,
bb_37aec5d5,28800.0,car,60,m,medium,1500.0,false,786823.79,5844648.58,-18.888158401175254,
bb_33181960,28800.0,car,93,f,very_low,500.0,false,785526.14,5813734.0,-32.46447907375769,
bb_dc231c85,28800.0,car,46,f,medium,1500.0,false,779019.12,5820994.46,-17.34301915098233,
bb_dfa7ec18,28800.0,car,45,m,medium,2000.0,false,800736.53,5807442.52,-18.73475894504228,
bb_fc86d5b2,28800.0,car,68,f,low,900.0,false,799506.4,5811967.18,-22.333958292641373,
berlin_5fe8960c,28800.0,car,81,m,medium,2000.0,false,789614.7397063645,5823490.349857916,-7.9485341069683555,
bb_f524a1a2,28800.0,car,34,f,medium,1500.0,false,765776.11,5813786.92,-31.542100855323184,
berlin_96fc8bc8,28800.0,car,16,m,medium,3000.0,false,806762.4494828726,5824728.787153022,-10.245323696344363,
berlin_77dba0c2,28800.0,car,24,f,low,900.0,false,784144.9040657524,5816482.451916983,-20.45258784543562,
berlin_4f3c74e6,28800.0,car,92,m,low,1500.0,false,793161.5773162097,5820338.653749769,-8.908114941882733,
berlin_7d1aa263,28800.0,car,40,m,very_low,500.0,false,799050.1606532778,5824891.0940714795,-11.685926042239194,
berlin_81bde3a4,28800.0,car,55,f,medium,3600.0,false,797394.9292431404,5821786.259852804,-5.9896746981682165,
berlin_2d5c1b0a,28800.0,car,57,f,high,3600.0,false,791914.3816751706,5827573.908637594,-3.9903488295183283,
berlin_d1afd8d2,28800.0,car,16,m,medium,3000.0,false,801586.5608102311,5828341.028710041,-6.382182403605767,
berlin_cc6294c4,28800.0,car,29,f,medium,3000.0,false,799540.0214607937,5829864.587111951,-5.037621458875726,
berlin_a6a46801,28800.0,car,11,m,medium,3000.0,false,798294.3095019564,5833351.893324792,-6.102532098290167,
berlin_10291893,28800.0,car,2,m,medium,3600.0,false,797348.2783289377,5821671.036904106,-5.826724682141807,
bb_715928ee,28800.0,car,44,f,medium,3600.0,false,778688.69,5820928.98,-13.112719370594432,
berlin_489783a4,28800.0,car,8,m,very_low,2000.0,false,793327.1402105356,5822883.811118226,-6.116711880393378,
berlin_da1727e9,28800.0,car,16,m,very_low,1500.0,false,802496.8558545897,5823086.542926237,-9.55363772258143,
berlin_d7f31a1e,28800.0,car,51,m,very_high,5600.0,false,800822.9337532005,5823887.75743323,-5.473481214275727,
berlin_fb095bf8,28800.0,car,91,m,medium,2000.0,false,808953.513496177,5829660.133483816,-12.764939705547128,
bb_4f7d5618,28800.0,car,13,m,very_high,5600.0,false,771781.1,5807025.27,-16.08252352088219,
berlin_e162974e,28800.0,car,36,m,very_high,5600.0,false,799346.4373116507,5829981.346158848,-4.513073758073999,
berlin_ac54b338,28800.0,car,33,f,low,2000.0,false,811276.3800746799,5820737.997931621,-16.708755397696738,
berlin_a705c80f,28800.0,car,52,f,high,5600.0,false,802814.573869206,5827923.245611568,-5.765365534863205,
berlin_28be96e4,28800.0,car,16,m,low,2600.0,false,806454.2678282547,5832080.842344811,-10.708697862729162,
bb_b8de85bf,28800.0,car,38,m,low,2000.0,false,740020.02,5808387.29,-44.843098959908346,
bb_21bb94b4,28800.0,car,73,m,medium,2000.0,false,795465.19,5840470.43,-11.489053417850025,
berlin_844c6ca4,28800.0,car,38,f,medium,3000.0,false,813759.7186978612,5829709.958102996,-14.267570290990877,
berlin_1e5488d9,28800.0,car,41,f,high,3600.0,false,808535.2274817853,5819928.485884898,-11.657414459318797,
berlin_e7bc030b,28800.0,car,50,f,low,900.0,false,803011.9635583268,5825812.76429186,-11.392053861835816,
berlin_a46954e3,28800.0,car,42,f,medium,3000.0,false,803959.7903212248,5828349.642061061,-7.14698906149191,
berlin_737e7e61,28800.0,car,3,m,very_high,5600.0,false,783977.8255032483,5829866.973476657,-8.411279517681036,
berlin_519afac9,28800.0,car,16,m,low,1500.0,true,792041.9492158396,5817383.505878765,-12.02735411521244,
berlin_a3afc82c,28800.0,car,38,f,medium,1500.0,false,808723.6143464874,5832493.017927414,-13.935833028737957,
berlin_54d79258,28800.0,car,18,f,high,3600.0,false,795583.1902552162,5824964.838694932,-3.387167965272839,
bb_497c8ab6,28800.0,car,33,m,high,3600.0,false,819836.39,5829298.9,-16.193188744060063,
berlin_7e70092c,28800.0,car,2,m,high,3600.0,false,812119.8291255957,5818220.333849337,-14.943904654351325,
berlin_82a7e581,28800.0,car,66,m,high,4600.0,false,789933.1104160019,5823976.490827292,-6.273291143244528,
berlin_c4560d0f,28800.0,car,58,f,high,4600.0,false,791238.5688537401,5824155.7444767365,-5.147194411847162,
berlin_73cfcbd3,28800.0,car,15,m,low,2600.0,true,805112.1730041341,5831890.457555086,-10.266824671336291,
berlin_ab4b5627,28800.0,car,48,m,high,4600.0,false,810413.2687641741,5820063.030419204,-12.34892617661694,
berlin_012b580f,28800.0,car,21,m,high,3600.0,false,792254.29238246,5824530.255406964,-5.205743609680963,
berlin_d87ed233,28800.0,car,19,f,low,1500.0,false,796453.3359945649,5831278.679713318,-4.041599441470136,
berlin_013ec323,28800.0,car,42,f,low,1500.0,false,792488.5152243031,5837831.564125578,-10.404313731138826,
berlin_5ebb3ded,28800.0,car,35,f,low,1500.0,false,811770.5544885811,5830033.852205183,-17.26010508900102,
berlin_1c6ccfd2,28800.0,car,13,m,medium,3000.0,false,797842.1864887692,5824840.136485746,-4.446031089339542,
berlin_6eee6d1a,28800.0,car,40,m,medium,2600.0,false,801999.71150837,5828416.604864379,-7.141993261838193,
berlin_5086585d,28800.0,car,51,f,very_high,5600.0,false,786731.6629893763,5837962.971883139,-7.810236213224091,
bb_4c0eaa7f,28800.0,car,52,m,medium,2000.0,false,739907.92,5808899.78,-42.91817191945313,
berlin_a0002293,28800.0,car,50,f,high,4600.0,false,802659.2270095828,5827776.524954025,-5.759695814521901,
berlin_b5420313,28800.0,car,20,f,high,5600.0,false,789004.6918058894,5816740.464003107,-8.889882141538775,
berlin_e0129e03,28800.0,car,41,f,very_low,1500.0,false,794489.2310427995,5822488.4398555,-6.865245283488472,
berlin_e471db41,28800.0,car,30,f,low,2000.0,false,794077.2686240757,5822876.365959177,-6.478540511943146,
