personId,time,mode,age,sex,economic_status,income,restricted_mobility,homeX,homeY,accessibility
berlin_8ff11b30,28800.0,teleportedWalk,93,m,very_high,5600.0,false,811142.5353433989,5828562.477534438,-104.84066666666668,
berlin_e765e818,28800.0,teleportedWalk,88,m,high,4600.0,false,790042.1069392356,5815579.008252295,-96.811,
berlin_b2cd01a4,28800.0,teleportedWalk,95,m,high,3000.0,true,814026.1315958404,5820697.866323384,-135.75466666666665,
bb_e1425e43,28800.0,teleportedWalk,5,m,medium,2600.0,false,795468.45,5842168.37,-69.70666666666668,
bb_eaa716f5,28800.0,teleportedWalk,96,f,very_low,500.0,false,809461.14,5835446.66,-103.80933333333334,
berlin_269eb60b,28800.0,teleportedWalk,19,f,very_low,1500.0,false,800284.4404687221,5824705.077054551,-28.884,
berlin_e470fe79,28800.0,teleportedWalk,74,m,medium,1500.0,false,791508.535686804,5825454.486903605,-35.754333333333335,
berlin_8647dbbb,28800.0,teleportedWalk,54,f,medium,3000.0,false,811149.4450296094,5829809.40553215,-80.86,
berlin_d2942056,28800.0,teleportedWalk,42,f,low,900.0,false,797658.1952462536,5831720.304468923,-18.63,
berlin_5e561439,28800.0,teleportedWalk,50,f,low,900.0,false,785065.146867082,5830054.480147443,-55.36666666666667,
berlin_6d233d94,28800.0,teleportedWalk,4,m,very_high,5600.0,false,781438.132010035,5828221.741138516,-73.87333333333333,
berlin_5bc667af,28800.0,teleportedWalk,4,m,high,4600.0,false,810721.6162215357,5825774.592129232,-79.97666666666666,
berlin_7478501c,28800.0,teleportedWalk,36,f,medium,3600.0,false,794152.0571398896,5827948.092310231,-8.796666666666667,
berlin_65fa0e3a,28800.0,teleportedWalk,61,f,medium,1500.0,false,811291.6812757321,5820037.24932031,-121.16866666666668,
berlin_915d0a26,28800.0,teleportedWalk,49,m,medium,2000.0,false,802682.7732216037,5827348.377017286,-37.38,
berlin_22711d4b,28800.0,teleportedWalk,15,m,medium,3000.0,false,801534.4575929167,5821148.544761201,-45.080999999999996,
berlin_2756dcfc,28800.0,teleportedWalk,11,m,very_high,5600.0,false,806245.6334672899,5829134.535589153,-55.209999999999994,
bb_ddaf8af0,28800.0,teleportedWalk,81,f,medium,1500.0,false,781933.83,5810739.03,-153.049,
berlin_057fe200,28800.0,teleportedWalk,40,f,very_high,5600.0,false,801805.9113782689,5833432.274086938,-40.236666666666665,
berlin_a5e80b30,28800.0,teleportedWalk,83,m,medium,2000.0,true,791970.9669240452,5838264.609069295,-68.83500000000001,
berlin_8fd46271,28800.0,teleportedWalk,19,f,medium,2000.0,false,793404.6540336255,5837425.323694214,-41.856,
berlin_8ffab30b,28800.0,teleportedWalk,15,m,high,3600.0,false,804420.2831240896,5823244.176717996,-48.55500000000001,
