personId,sex,age_group,economic_status,restricted_mobility,income,income_bin,bezirk,access_base,access_policy,delta,changed
berlin_81e0c1f4,m,<15,very_high,No restriction,5600,5600,12,-10.852195958950393,-18.80565986505132,-7.953463906100929,TRUE
berlin_563b12e9,m,15–29,high,No restriction,5600,5600,6,-8.112074740819493,-10.947196335456974,-2.8351215946374815,TRUE
bb_92f265d3,m,15–29,very_low,No restriction,499,499,NA,-56.07350155297911,-80.26217221097299,-24.18867065799388,TRUE
bb_283a1533,f,30–44,very_high,No restriction,5600,5600,NA,-16.206074181314555,-23.432495390720494,-7.226421209405938,TRUE
berlin_f8ee7685,m,<15,medium,No restriction,2600,2600,3,-7.666705441362592,-22.871278998696535,-15.204573557333944,TRUE
berlin_26a0debb,f,60+,high,No restriction,4600,4600,7,-12.295751483054477,-17.040957344412398,-4.74520586135792,TRUE
berlin_b16b759d,m,60+,very_low,No restriction,500,500,5,-23.389720864479592,-48.855141348235236,-25.465420483755643,TRUE
berlin_549c46f4,f,15–29,high,No restriction,3600,3600,10,-3.8525694820536245,-5.809292446935698,-1.9567229648820739,TRUE
berlin_10106fa4,f,30–44,medium,No restriction,3000,3000,5,-11.624542370960626,-21.70798693982383,-10.083444568863204,TRUE
bb_104f9a0a,f,15–29,medium,No restriction,2000,2000,NA,-24.371937799282243,-35.80549309677944,-11.4335552974972,TRUE
berlin_a52cea2b,f,60+,medium,No restriction,3600,3600,5,-10.500968133854375,-20.116092622285667,-9.615124488431292,TRUE
berlin_52504067,m,<15,medium,No restriction,2600,2600,2,-5.019279627473313,-11.894654681867234,-6.8753750543939205,TRUE
bb_74999eb6,m,60+,low,Restricted mobility,900,900,NA,-30.841659023299908,-38.935184018924296,-8.093524995624389,TRUE
bb_c5d44bbe,m,60+,medium,No restriction,2600,2600,NA,-19.893563618469926,-25.42229571998344,-5.528732101513512,TRUE
berlin_e4cdaf32,f,30–44,medium,No restriction,2000,2000,11,-7.334802067816393,-13.977603302733174,-6.642801234916781,TRUE
berlin_f4818b08,f,15–29,very_high,No restriction,5600,5600,9,-5.836661022980665,-14.455133495076225,-8.618472472095561,TRUE
berlin_69a1c8b7,m,15–29,medium,No restriction,1500,1500,1,-6.145854054962784,-7.759201850470562,-1.6133477955077788,TRUE
berlin_a6cb0941,m,<15,medium,No restriction,2600,2600,4,-6.527399347649551,-8.30891462932786,-1.7815152816783097,TRUE
berlin_bbd5499f,m,<15,low,No restriction,2600,2600,10,-2.809576374470905,-15.652086534769586,-12.84251016029868,TRUE
berlin_7d1a4a7e,f,60+,high,No restriction,2600,2600,1,-7.5767151167667945,-9.697036113229531,-2.1203209964627368,TRUE
berlin_0d01faec,m,60+,medium,No restriction,2600,2600,10,-3.799915323767603,-6.895612150401242,-3.0956968266336395,TRUE
berlin_5a04fcbf,m,30–44,medium,No restriction,3600,3600,11,-5.918481759131106,-17.699941778375127,-11.78146001924402,TRUE
bb_c4c50284,f,60+,medium,No restriction,2000,2000,NA,-15.66443566117359,-18.99174241090775,-3.327306749734161,TRUE
berlin_01476277,f,45–59,very_high,No restriction,5600,5600,9,-6.225546977028322,-15.12295089999208,-8.897403922963758,TRUE
berlin_cba19a10,f,60+,low,No restriction,900,900,11,-6.241660791379425,-48.4251166807015,-42.183455889322076,TRUE
bb_121660c6,m,30–44,medium,No restriction,2000,2000,NA,-22.33953536947453,-28.183520660642603,-5.8439852911680745,TRUE
bb_4ab92dd5,m,45–59,high,No restriction,3600,3600,NA,-11.28653128976412,-13.932470111832899,-2.6459388220687785,TRUE
berlin_b132cd73,f,30–44,medium,No restriction,2000,2000,4,-5.936988000756199,-7.5448836289199965,-1.6078956281637975,TRUE
berlin_2ad9fd97,f,15–29,medium,No restriction,2600,2600,7,-14.343861148984361,-19.40846955943138,-5.06460841044702,TRUE
berlin_fc6febaa,f,60+,medium,No restriction,1500,1500,7,-14.310942737107753,-19.377199423158817,-5.066256686051064,TRUE
bb_67bf00fe,m,60+,very_low,Restricted mobility,900,900,NA,-31.123992852485006,-43.943054794856856,-12.81906194237185,TRUE
berlin_b7a3cd15,m,60+,high,No restriction,3600,3600,6,-9.74312089648925,-12.831739534660754,-3.0886186381715035,TRUE
berlin_1a764bb9,m,30–44,low,No restriction,1500,1500,10,-4.041627926382669,-5.343091106992541,-1.301463180609872,TRUE
bb_e82e5709,f,45–59,medium,Restricted mobility,3600,3600,NA,-12.184249500424372,-19.455861942466022,-7.271612442041651,TRUE
berlin_d86d9114,f,15–29,medium,No restriction,2000,2000,7,-14.707873767128413,-20.975472249376306,-6.267598482247893,TRUE
bb_61ccef8f,f,45–59,low,No restriction,1500,1500,NA,-14.82580749354312,-26.252358428455818,-11.426550934912697,TRUE
berlin_b960149c,f,30–44,medium,No restriction,1500,1500,4,-8.357186985161599,-9.557690842668977,-1.2005038575073783,TRUE
berlin_3ae1d84e,m,30–44,very_low,No restriction,1500,1500,9,-9.227940441456091,-22.362174738662638,-13.134234297206547,TRUE
berlin_3aaf58c4,m,<15,low,No restriction,3000,3000,10,-2.3728909804163627,-11.105452367377861,-8.732561386961498,TRUE
berlin_e0bd30d3,m,45–59,high,No restriction,4600,4600,5,-7.738337365928485,-18.05354682144937,-10.315209455520884,TRUE
berlin_160f79f2,m,45–59,high,No restriction,3600,3600,4,-5.351678431897414,-7.910898831115627,-2.559220399218213,TRUE
berlin_4d67fc24,m,60+,very_low,Restricted mobility,900,900,9,-16.48891582950732,-31.594754837711026,-15.105839008203706,TRUE
